gebruiker;Dag;Tijd;opnamenaam;id;gesprek;gezongen;tv;stilte;muziek;skype;Energy;F;SFM;ruimgesproken;Dataset1;Dataset2;Data3
listens3;01/06/14;03_34_10;3 - audio_01-06-2014_03_34_10 01-30.mp3;1;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_11;3 - audio_01-06-2014_03_34_10 02-30.mp3;2;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_12;3 - audio_01-06-2014_03_34_10 03-30.mp3;3;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_13;3 - audio_01-06-2014_03_34_10 04-30.mp3;4;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_14;3 - audio_01-06-2014_03_34_10 05-30.mp3;5;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_15;3 - audio_01-06-2014_03_34_10 06-30.mp3;6;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_16;3 - audio_01-06-2014_03_34_10 07-30.mp3;7;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_17;3 - audio_01-06-2014_03_34_10 08-30.mp3;8;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_18;3 - audio_01-06-2014_03_34_10 09-30.mp3;9;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_19;3 - audio_01-06-2014_03_34_10 10-30.mp3;10;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_20;3 - audio_01-06-2014_03_34_10 11-30.mp3;11;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_21;3 - audio_01-06-2014_03_34_10 12-30.mp3;12;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_22;3 - audio_01-06-2014_03_34_10 13-30.mp3;13;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_23;3 - audio_01-06-2014_03_34_10 14-30.mp3;14;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_24;3 - audio_01-06-2014_03_34_10 15-30.mp3;15;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_25;3 - audio_01-06-2014_03_34_10 16-30.mp3;16;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_26;3 - audio_01-06-2014_03_34_10 17-30.mp3;17;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_27;3 - audio_01-06-2014_03_34_10 18-30.mp3;18;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_28;3 - audio_01-06-2014_03_34_10 19-30.mp3;19;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_29;3 - audio_01-06-2014_03_34_10 20-30.mp3;20;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_30;3 - audio_01-06-2014_03_34_10 21-30.mp3;21;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_31;3 - audio_01-06-2014_03_34_10 22-30.mp3;22;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_32;3 - audio_01-06-2014_03_34_10 23-30.mp3;23;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_33;3 - audio_01-06-2014_03_34_10 24-30.mp3;24;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_34;3 - audio_01-06-2014_03_34_10 25-30.mp3;25;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_35;3 - audio_01-06-2014_03_34_10 26-30.mp3;26;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_36;3 - audio_01-06-2014_03_34_10 27-30.mp3;27;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_37;3 - audio_01-06-2014_03_34_10 28-30.mp3;28;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_38;3 - audio_01-06-2014_03_34_10 29-30.mp3;29;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_34_39;3 - audio_01-06-2014_03_34_10 30-30.mp3;30;0;0;0;0;0;0;;;;0;;;
listens3;01/06/14;03_39_11;3 - audio_01-06-2014_03_39_11 01-30.mp3;1;0;0;0;0;0;0;29,38952641;442,445885;-1,636289714;0;0;0;
listens3;01/06/14;03_39_12;3 - audio_01-06-2014_03_39_11 02-30.mp3;2;0;0;0;0;0;0;31,24325117;440,7791779;-1,621296417;0;0;0;
