speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12
yes,307.113.527.502,366.081.975.363,389.620.886.809,396.717.214.973,441.110.926.111,440.281.170.328,424.287.570.593,458.795.112.105,50.186.692.573,524.341.546.547,532.452.434.557,593.644.009.041,651.458.909.141
yes,821.616.720.774,765.760.055.982,745.075.395.908,726.923.211.088,75.018.680.758,719.234.256.254,702.331.505.736,74.577.708.979,710.361.668.899,701.509.629.729,71.972.496.655,775.669.571.085,827.618.781.468
yes,113.830.954.804,107.445.640.365,110.824.496.459,110.510.644.454,112.532.452.819,108.530.276.774,106.637.143.418,112.386.216.513,110.268.305.193,108.320.198.086,108.494.416.169,113.305.981.423,113.864.410.407
yes,180.491.126.616,297.928.730.213,414.775.676.182,424.757.396.691,446.895.321.522,454.600.098.385,496.952.916.633,544.530.079.081,545.306.445.847,565.267.034.922,563.691.681.999,62.132.979.449,61.853.156.597
yes,368.364.604.433,332.764.647.662,380.130.316.431,375.553.296.253,410.453.731.042,410.896.520.899,407.228.238.493,429.398.348.754,432.714.418.964,467.661.333.267,53.364.863.956,628.373.421.105,608.609.271.908
yes,664.032.391.652,576.421.210.232,543.524.496.722,535.273.855.578,532.014.708.143,565.867.523.493,551.774.017.388,534.802.419.946,591.644.998.452,605.468.712.588,630.342.002.838,634.244.934.466,700.960.716.439
yes,774.700.633.509,759.314.183.214,849.602.411.713,841.517.446.297,866.974.253.487,849.331.211.847,850.062.009.825,881.473.987.107,883.770.662.919,868.499.137.487,879.038.915.183,930.269.641.716,943.839.307.936
yes,726.128.112.715,668.956.322.967,757.406.276.162,769.534.165.571,761.197.149.554,760.594.845.789,795.934.274.643,889.302.671.297,934.198.089.918,971.061.752.431,104.485.931.448,110.506.366.148,10.911.468.186
yes,930.907.323.379,819.286.512.169,837.588.726.509,823.937.475.354,821.624.967.302,806.866.454.106,799.163.112.575,849.915.075.998,874.679.198.923,910.416.309.089,986.416.684.803,105.227.160.565,106.930.960.627
yes,101.387.468.272,893.867.291.674,911.958.008.551,906.169.828.493,923.547.155.637,93.506.433.035,938.003.271.382,998.446.330.372,102.999.188.827,106.976.697.066,112.816.186.895,117.839.435.802,120.003.509.568
yes,987.930.474.719,889.510.554.963,873.367.981.502,849.239.362.754,843.858.208.126,839.592.277.642,831.373.757.188,870.140.507.222,88.556.349.943,903.504.570.219,986.838.619.721,106.510.910.435,108.552.571.931
yes,113.774.937.688,103.020.703.858,106.751.206.614,105.288.706.885,108.324.756.639,109.681.204.223,107.190.679.109,114.912.272.103,119.109.187.939,121.491.824.572,124.307.575.755,126.439.415.744,130.186.440.109
yes,770.566.512.806,771.381.855.572,837.798.356.727,878.845.264.945,908.891.226.885,925.537.718.466,95.851.388.357,987.132.203.952,101.068.032.703,103.184.499.968,104.955.916.177,109.130.231.197,110.034.702.938
yes,452.664.870.535,468.682.058.169,564.760.594.292,605.655.218.622,570.867.171.961,535.521.864.057,443.584.668.412,476.629.514.751,485.577.259.277,490.471.030.454,52.852.567.247,560.663.262.834,527.500.032.748
yes,38.820.772.244,422.651.848.475,405.240.221.538,406.424.636.039,451.036.234.961,461.872.187.535,444.455.616.705,467.627.419.543,500.434.928.747,533.694.732.066,530.329.725.371,60.358.283.498,665.188.808.097
yes,704.215.827.631,702.632.088.607,709.229.894.811,677.756.012.233,706.638.093.712,673.845.443.748,66.722.030.962,711.028.723.746,665.711.094.051,656.970.507.424,656.460.566.888,720.359.008.473,779.242.102.474
yes,955.596.185.685,86.811.305.992,889.174.491.513,871.265.262.115,89.509.425.892,873.091.524.823,843.295.645.883,902.014.626.901,920.960.192.204,910.035.866.963,907.965.075.341,939.780.518.997,946.040.558.283
yes,692.342.198.641,606.976.098.514,565.625.118.155,560.863.801.572,561.305.202.606,608.360.322.583,589.714.622.595,559.485.377.036,596.773.196.984,605.056.202.715,630.966.365.561,628.754.774.977,682.797.396.576
yes,46.079.231.566,421.540.457.918,480.284.453.201,479.433.075.101,48.852.019.286,4.946.274.017,49.228.880.493,526.786.222.843,525.505.817.032,54.269.880.003,607.974.645.148,659.142.157.733,669.892.024.817
yes,109.170.569.717,245.928.468.085,351.049.086.873,376.570.846.467,411.607.118.064,44.403.092.599,491.793.067.322,494.378.803.339,467.586.008.082,522.113.821.465,529.808.290.327,570.297.229.268,563.797.690.818
