speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12
nee,647.260.492.166,570.206.849.518,57.369.543.662,572.990.638.243,605.864.006.936,650.812.728.744,666.554.624.871,679.385.378.196,729.834.517.576,787.846.283.559,843.633.986.374,936.053.530.001,997.465.629.057
nee,648.635.040.725,558.688.196.076,573.580.715.896,579.628.307.662,610.295.771.061,678.053.165.854,674.062.809.968,692.875.247.311,74.783.859.629,801.815.955.351,890.526.127.993,958.691.446.077,102.013.947.679
nee,648.175.461.573,543.278.655.268,566.755.580.076,56.847.965.189,632.134.064.054,697.254.157.915,681.824.217.069,711.417.715.804,75.854.785.482,826.639.544.164,873.914.239.036,935.411.450.516,101.322.246.231
nee,650.322.639.817,567.179.647.495,574.775.137.763,549.414.382.428,620.514.256.233,668.303.824.045,642.891.837.159,687.020.160.423,728.471.809.425,787.360.160.172,853.478.624.167,939.352.438.966,100.413.389.842
nee,678.547.671.841,580.170.735.171,597.552.919.431,593.172.013.392,648.786.570.428,706.921.266.339,711.209.767.441,738.735.897.482,783.190.562.366,811.950.491.826,917.561.255.147,994.887.591.981,10.447.880.349
nee,6.152.475.172,536.176.635.688,54.265.572.298,542.779.593.883,610.831.527.308,680.933.874.074,672.591.422.535,70.259.991.786,742.822.121.988,802.204.847.703,877.301.494.552,954.947.414.288,101.502.096.466
nee,650.347.683.769,55.509.671.801,561.660.672.611,552.034.562.214,599.425.915.802,67.690.155.247,661.183.383.826,706.005.593.829,755.205.463.806,795.647.211.745,864.508.112.088,933.315.239.805,998.709.956.458
nee,63.557.513.735,551.379.514.126,554.395.338.391,55.233.110.231,603.813.691.777,685.887.060.738,666.276.976.318,696.873.611.347,749.834.901.508,7.932.140.628,845.858.321.399,920.788.707.179,993.103.822.895
nee,687.601.449.156,609.712.780.531,61.789.364.139,604.980.676.927,667.016.947.156,726.702.637.752,715.991.993.392,742.035.845.393,788.348.981.992,819.546.541.416,909.128.737.885,997.335.325.298,105.608.145.518
nee,59.215.531.032,508.784.279.794,518.566.731.778,509.491.422.485,584.839.137.356,645.007.144.591,648.790.322.881,67.310.540.261,702.711.444.619,759.809.403.015,830.406.664.634,918.029.706.421,976.221.364.572
nee,452.267.402.625,406.991.515.031,329.503.601.576,297.634.348.336,308.533.030.517,300.160.724.053,325.894.712.803,348.987.415.705,314.501.120.298,293.185.114.442,286.361.248.442,315.066.785.759,335.171.894.527
nee,434.961.128.075,431.756.210.443,355.575.108.447,310.761.298.464,302.517.330.301,319.162.410.406,320.355.756.556,319.482.171.659,295.595.551.138,328.719.174.673,320.418.943.833,354.716.606.416,371.524.910.139
nee,440.403.514.255,421.716.484.986,365.922.776.524,312.056.206.208,299.848.920.586,334.529.013.415,314.453.051.736,303.419.310.134,27.943.199.569,367.889.355.233,372.304.086.741,359.598.176.979,370.581.758.191
nee,433.638.258.071,397.707.932.844,342.189.441.727,293.842.906.727,272.640.004.135,315.096.593.668,400.934.179.871,426.512.945.255,355.333.623.752,375.686.993.152,385.244.979.123,362.102.257.293,340.208.092.178
nee,48.155.878.935,450.412.295.732,389.398.839.906,353.510.837.198,373.044.914.277,351.969.911.134,368.560.318.191,364.802.682.549,394.274.317.927,440.710.323.333,396.914.985.832,358.070.025.561,341.993.100.867
nee,424.157.657.672,406.093.120.931,347.387.241.556,303.009.621.643,307.958.317.881,31.924.198.991,280.136.570.949,265.635.927.669,380.630.686.831,438.853.860.545,381.438.511.202,395.156.580.303,365.611.725.567
nee,41.350.821.164,402.667.708.629,360.723.322.305,297.028.300.394,28.842.291.885,309.262.709.008,319.337.395.299,342.296.248.867,381.548.031.114,397.456.185.179,385.489.938.001,397.423.685.106,367.197.806.942
nee,409.294.834.776,398.991.976.281,365.449.326.009,302.099.283.775,292.963.317.805,318.008.230.713,407.016.520.866,441.738.462.999,386.051.509.933,362.151.763.649,371.825.952.507,380.312.563.119,350.482.183.683
nee,4.644.010.581,441.152.200.632,38.501.643.109,34.610.123.918,394.522.968.563,343.798.653.412,36.073.765.434,36.284.879.337,398.068.696.978,434.070.627.072,405.935.775.755,374.926.431.224,376.062.166.813
nee,377.801.149.874,379.690.733.579,323.791.538.993,274.606.918.292,292.594.080.062,276.114.665.817,291.282.134.436,307.138.509.097,391.191.199.111,439.493.516.381,370.730.880.078,356.359.764.616,335.292.442.164
nee,471.011.894.823,302.085.588.295,282.215.942.068,267.233.550.275,29.716.915.152,325.092.239.547,335.516.984.393,352.665.377.946,346.013.022.415,327.636.521.027,351.703.288.959,354.639.815.615,383.352.591.921
nee,494.607.581.742,31.689.195.649,303.834.767.434,278.744.707.818,317.803.030.191,358.672.630.258,356.245.080.003,364.974.231.322,349.309.826.174,343.132.085.587,346.461.734.252,365.906.587.841,387.995.835.211
nee,501.023.375.599,339.410.678.501,314.841.357.813,284.976.682.104,321.888.224.093,371.823.264.815,360.457.041.169,375.324.476.104,362.960.249.814,361.842.559.406,363.175.230.904,370.773.607.342,386.373.679.835
nee,474.522.504.085,32.310.109.714,289.974.721.739,270.014.276.507,302.804.013.923,339.058.111.944,322.148.839.582,34.772.370.548,341.031.671.426,323.637.941.971,352.373.004.078,372.033.367.944,388.357.062.201
nee,513.479.478.278,332.044.242.222,317.219.488.282,289.785.712.711,343.305.305.212,370.443.685.066,38.649.221.191,392.594.950.509,387.764.987.155,371.772.213.276,361.251.734.053,389.736.912.163,415.773.639.214
nee,49.530.171.217,303.628.801.484,301.960.794.867,273.762.303.239,309.499.038.664,352.911.641.876,358.767.409.655,366.732.445.961,350.069.281.006,354.573.909.184,354.946.265.001,37.643.985.815,386.657.026.014
nee,488.283.230.986,310.687.158.541,299.191.244.224,265.726.164.911,306.784.389.121,33.823.475.566,341.143.551.009,357.071.992.369,363.953.967.171,350.863.715.597,352.843.888.085,368.048.342.857,393.201.105.515
nee,49.067.255.056,336.221.039.536,308.243.420.402,287.243.298.199,30.653.852.859,351.996.991.698,334.275.020.456,348.760.609.822,344.966.799.193,343.884.676.544,34.045.931.957,362.782.508.906,384.225.194.893
nee,514.226.182.975,338.722.660.548,315.878.136.397,291.507.954.128,344.005.919.027,368.438.209.866,386.371.577.838,388.219.864.133,385.262.799.623,376.880.566.455,370.210.031.471,383.234.583.784,403.010.488.796
nee,457.470.772.471,287.226.710.991,271.613.636.511,248.419.535.463,281.611.683.439,303.264.090.969,316.117.115.217,329.912.454.489,318.747.310.651,324.344.106.221,331.832.431.626,349.531.496.559,36.870.644.951
nee,549.554.960.467,389.236.371.854,373.040.991.842,304.647.937.725,310.415.369.076,3.308.077.967,32.958.066.389,326.992.309.803,340.690.845.516,336.303.035.207,366.434.274.552,382.507.049.799,424.936.346.439
nee,570.048.100.385,418.584.135.312,398.220.825.058,324.836.938.145,335.167.790.575,350.296.117.764,333.054.823.295,341.765.011.026,350.969.580.208,359.884.256.878,386.031.708.905,411.272.344.658,450.798.742.793
nee,582.988.863.531,415.442.999.066,391.018.229.747,32.517.332.006,339.698.625.202,36.581.784.767,334.998.611.246,344.110.621.843,353.109.217.685,366.039.619.266,399.534.108.945,42.205.758.063,451.284.525.267
nee,562.447.047.828,385.815.325.271,382.963.997.667,313.083.076.839,334.542.428.959,347.977.614.139,320.581.171.209,316.764.069.101,332.586.355.982,358.208.555.256,368.975.946.634,410.619.292.212,442.056.864.585
nee,607.431.502.668,439.188.371.201,407.110.284.703,344.464.368.425,361.820.481.681,378.757.693.743,364.497.857.279,354.019.883.344,371.376.365.104,372.384.797.579,407.367.767.098,442.605.686.186,473.390.988.826
