speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12, filename
'0',2.84538306971,2.82494349625,2.58979046111,2.1619836841,1.62518256602,1.90027819879,2.50194168236,2.74579290117,3.01509105102,3.34392874935,3.82192552424,4.87839233684,5.50691139619,noise1-0-noise1.wav
'0',5.89029085308,5.69940598714,5.40057704412,4.96930674321,4.57739060717,4.86611408432,5.73447177255,6.1642919361,6.43249743825,6.82254512931,7.4379909449,8.1126218143,8.5499945122,noise1-1-noise1.wav
'0',6.17343799488,6.34673186162,5.58162681591,5.2792648514,5.12834544474,5.7208395696,6.2987653619,6.6037964374,6.94346333902,7.33581166964,7.9060680139,9.29500017671,10.1836962228,noise1-10-noise1.wav
'0',6.00968573915,5.96865759887,5.08600274755,4.61250341392,3.81094860427,3.73249802363,4.2497381447,4.47645397061,4.57244365744,5.02091400767,5.64641957202,5.91349539256,6.20961440809,noise1-100-noise1.wav
'0',6.00570082573,5.87413751034,5.18101244935,4.62713786799,3.73740870854,3.76749697759,4.32098814106,4.54057923795,4.58301520694,4.95462967611,5.58305635555,5.94071320379,6.21372467747,noise1-101-noise1.wav
'0',6.07095638292,6.16628700349,5.19722617488,4.7149006907,3.89715845138,3.91783683415,4.63849494891,4.87305574048,4.83395461649,5.21154529899,5.77663016511,6.08216923879,6.32270460094,noise1-102-noise1.wav
'0',5.97709388542,5.84681318882,5.23726552521,4.70598053934,3.93133403937,4.054766881,4.97440885552,5.17739790127,5.03780971919,5.28869366907,5.81064904579,6.08094130323,6.32782075461,noise1-103-noise1.wav
'0',6.01856915735,6.38818709901,5.30437011863,4.73804293101,3.96225780998,3.97029617946,4.92136446993,5.1405882538,5.13855336607,5.56740944258,6.1858096032,6.58164491995,6.79667871492,noise1-104-noise1.wav
'0',5.91160942002,6.03799275749,5.06819171652,4.66212853706,3.93557777539,4.09654614052,5.17404729104,5.60962807109,5.82654042594,6.27363818219,6.9013790312,7.36012080361,7.60077245755,noise1-105-noise1.wav
'0',6.0276359494,6.07647514441,5.31011391188,4.78322226796,4.11799279283,4.45234296517,5.56753370471,5.94561243293,6.1581174876,6.55353611761,7.1947981275,7.56779127448,7.84512398675,noise1-106-noise1.wav
'0',5.9558260889,5.89281303213,5.18502868577,4.76107778163,4.01782326598,4.39515227878,5.51974131952,5.96986020752,6.07567520673,6.71749889373,7.45408357814,7.73448256372,7.97900807525,noise1-107-noise1.wav
'0',5.94536390156,6.32908367817,5.26614458535,4.69698414424,3.96557406968,4.09458171857,4.9892199648,5.53346147181,5.62644250348,6.18414247752,6.97138415759,7.38244456174,7.70270292779,noise1-108-noise1.wav
'0',5.87830163341,6.00108657188,5.19090212377,4.67373153445,3.99390377001,4.04855521393,4.947253142,5.51068182218,5.49199861721,6.04489006769,6.89435174356,7.27327548363,7.64037965903,noise1-109-noise1.wav
'0',6.11684049209,5.8879102554,5.49270596863,5.44863492611,5.45087497982,6.15111005532,6.65360797332,6.98697679865,7.37881041326,7.82428621415,8.42392205654,10.0265098577,10.9458011558,noise1-11-noise1.wav
'0',6.02399554854,6.04132750462,5.21787014063,4.69396657531,3.95693199721,4.09701859506,5.10403698291,5.70004259131,5.68578528662,6.11981184191,6.81045193678,7.22904774816,7.60633501614,noise1-110-noise1.wav
'0',5.83659854472,5.94034235656,5.12441480316,4.66979644769,3.91916127063,3.94434077476,4.8104987638,5.36041547007,5.45964128921,6.01388660749,6.73269370332,6.90625157961,7.27332488024,noise1-111-noise1.wav
'0',6.09925914411,6.17087226786,5.34556577745,4.75126749302,3.97086079276,4.18568866953,5.09394941137,5.54676226508,5.53469640272,6.0429476706,6.78950020421,6.94461001245,7.23752103634,noise1-112-noise1.wav
'0',6.11385397666,5.89130829757,5.23059575231,4.77314353865,3.9586452941,4.19069604304,5.14008045815,5.57908315743,5.46389148285,5.92243297401,6.51726020078,6.84443168746,7.14029749818,noise1-113-noise1.wav
'0',6.10481603891,6.43988636758,5.39339524579,4.74780379121,3.96487302938,4.15059567575,4.99244816592,5.45362799965,5.47932502705,5.95016346688,6.58350361217,6.87149856303,7.19449394399,noise1-114-noise1.wav
'0',6.17671788044,6.20576174647,5.39909727429,4.82780655492,3.99796441221,4.28442265331,5.08858703887,5.48477790147,5.5757274754,6.03210817556,6.6166459341,6.72001879745,6.97775008239,noise1-115-noise1.wav
'0',6.10783105517,5.9793386638,5.23756883276,4.74253454883,3.93249515654,4.11659784338,5.02560882103,5.45829050311,5.27851467212,5.63199796838,6.43255759885,6.73722090067,7.04001390632,noise1-116-noise1.wav
'0',6.04560780396,5.99578886154,5.16878792998,4.64620939628,3.91106603665,3.89354125781,4.64663120188,4.99357732202,4.93968177358,5.36712934676,6.12977066161,6.53116853194,6.89048567435,noise1-117-noise1.wav
'0',5.84503304487,5.7883121557,5.04583116474,4.61891786726,3.83136557343,3.89570128748,4.65283707716,5.04162893727,5.07399373647,5.42738639924,6.16130655209,6.45236161708,6.79724730627,noise1-118-noise1.wav
'0',5.99008858639,6.27013347889,5.23878830018,4.70005085549,3.86115813613,3.98640752073,4.78607486167,5.11958643843,5.09936701963,5.47060897361,6.13548239083,6.40805900218,6.7891948902,noise1-119-noise1.wav
'0',6.32297824825,6.28591534995,5.58836222228,5.38971755237,5.18175054674,5.65778971272,6.18611510423,6.68016463769,6.99961310298,7.40407314105,8.07962442206,9.82767699934,10.5910439986,noise1-12-noise1.wav
