@relation mfccJos-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {1,0}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
1,3.412792,4.739547,6.078779,6.18589,6.15705,6.547386,7.335843,7.718602,8.050076,8.334002,8.448666,8.395457,9.269232
1,3.35683,4.61528,6.007679,6.337662,6.447062,6.521195,7.073582,7.706169,8.082894,7.984405,8.11339,8.283332,9.333261
1,4.79623,6.242215,7.506487,7.078273,7.197246,7.545975,7.371006,7.404921,7.580355,8.040638,8.343627,8.340994,8.248064
1,6.619309,8.077033,8.624645,8.586948,8.500694,8.889119,9.043212,9.047435,9.140644,9.267455,9.497293,9.775697,10.175837
1,8.327806,9.396026,9.919325,10.053781,10.296296,10.730555,10.983601,10.949653,11.000143,11.096587,11.244548,11.444729,11.557224
1,5.989077,7.375508,7.84013,7.708701,7.71032,7.824837,7.982474,8.147054,8.256341,8.515431,8.817169,9.099473,9.211921
1,9.571358,10.477045,10.794594,10.835629,10.666928,10.950919,11.232287,11.30689,11.5082,11.651532,11.581721,11.603527,11.50661
1,6.39433,7.843345,8.268331,8.531158,8.60809,8.964128,9.184656,9.351927,9.644716,9.844912,9.95152,10.015612,10.048475
1,5.183105,6.635465,8.0501,8.580542,8.403754,8.598032,9.069385,8.655762,8.786624,8.629263,8.412966,8.657027,8.715264
1,6.254064,8.484614,9.086988,8.805418,8.700558,9.096931,9.241018,8.88302,8.502447,8.494121,8.661366,9.108504,9.426146
1,4.867643,7.753008,8.416331,7.998965,8.030283,8.632337,7.792792,6.952403,7.163859,7.172427,7.290153,7.163002,7.050717
1,5.662912,7.563364,8.060679,7.858575,8.598268,9.170655,9.58532,9.384111,9.225161,9.148291,9.156815,9.349721,9.537436
1,5.938849,7.124696,9.183152,9.710094,9.532804,9.436912,9.922799,9.641748,9.911484,10.86483,10.841208,10.437921,9.942361
1,5.027182,5.656421,6.103427,6.432799,6.548897,6.93239,7.293337,7.555318,7.780743,8.128912,8.340283,8.569457,8.820149
1,6.924671,7.829481,8.496587,8.946078,9.293652,9.857877,10.235062,10.585987,10.983347,11.351163,11.470582,11.851638,12.007869
1,7.575515,8.742261,9.465788,10.639043,10.998622,11.505886,11.574162,11.238914,11.051493,11.373673,11.710583,11.899726,11.827233
1,7.657304,8.199232,8.960287,9.706018,9.594782,9.908981,10.452856,11.029844,11.650263,12.20369,12.270797,12.350519,12.704732
1,7.692318,8.286439,9.483592,10.30324,9.916147,10.47402,10.996359,11.475092,11.928532,12.399208,12.540415,12.71658,12.875111
1,7.764454,9.370551,9.842242,10.822668,10.170431,10.461281,11.35234,11.657708,12.104862,12.526155,12.312619,11.677241,11.613064
1,9.142823,10.458794,11.142999,12.01688,11.684712,11.902919,12.699224,13.367713,13.893957,14.016435,13.91725,14.18314,14.260893
1,6.140137,7.381881,9.046486,10.271494,9.883221,9.745731,9.533497,9.476772,10.080534,10.085234,9.892595,9.544795,9.571114
1,5.934616,6.918318,7.627917,8.040854,8.23934,8.479666,8.913863,9.006659,8.963329,9.017796,9.287499,9.551937,9.546398
1,6.497402,7.98157,9.536441,9.607601,9.164539,9.211935,9.396499,9.20318,9.059768,9.249786,9.419359,9.578881,9.872036
1,5.214727,6.135385,7.125049,7.348096,6.854843,7.259125,7.614655,8.00592,7.991469,8.406901,8.561626,8.748072,8.623513
1,5.851622,6.97115,7.621698,8.089736,8.288391,8.432998,8.472684,8.508091,8.48285,8.757722,9.204399,9.557824,9.842611
