@relation mfccJosSub-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {yes,no}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
yes,3.412792,4.739547,6.078779,6.18589,6.15705,6.547386,7.335843,7.718602,8.050076,8.334002,8.448666,8.395457,9.269232
yes,3.35683,4.61528,6.007679,6.337662,6.447062,6.521195,7.073582,7.706169,8.082894,7.984405,8.11339,8.283332,9.333261
yes,4.79623,6.242215,7.506487,7.078273,7.197246,7.545975,7.371006,7.404921,7.580355,8.040638,8.343627,8.340994,8.248064
yes,6.619309,8.077033,8.624645,8.586948,8.500694,8.889119,9.043212,9.047435,9.140644,9.267455,9.497293,9.775697,10.175837
yes,8.327806,9.396026,9.919325,10.053781,10.296296,10.730555,10.983601,10.949653,11.000143,11.096587,11.244548,11.444729,11.557224
yes,5.989077,7.375508,7.84013,7.708701,7.71032,7.824837,7.982474,8.147054,8.256341,8.515431,8.817169,9.099473,9.211921
yes,9.571358,10.477045,10.794594,10.835629,10.666928,10.950919,11.232287,11.30689,11.5082,11.651532,11.581721,11.603527,11.50661
yes,6.39433,7.843345,8.268331,8.531158,8.60809,8.964128,9.184656,9.351927,9.644716,9.844912,9.95152,10.015612,10.048475
yes,5.183105,6.635465,8.0501,8.580542,8.403754,8.598032,9.069385,8.655762,8.786624,8.629263,8.412966,8.657027,8.715264
yes,6.254064,8.484614,9.086988,8.805418,8.700558,9.096931,9.241018,8.88302,8.502447,8.494121,8.661366,9.108504,9.426146
yes,4.867643,7.753008,8.416331,7.998965,8.030283,8.632337,7.792792,6.952403,7.163859,7.172427,7.290153,7.163002,7.050717
yes,5.662912,7.563364,8.060679,7.858575,8.598268,9.170655,9.58532,9.384111,9.225161,9.148291,9.156815,9.349721,9.537436
yes,5.938849,7.124696,9.183152,9.710094,9.532804,9.436912,9.922799,9.641748,9.911484,10.86483,10.841208,10.437921,9.942361
yes,5.027182,5.656421,6.103427,6.432799,6.548897,6.93239,7.293337,7.555318,7.780743,8.128912,8.340283,8.569457,8.820149
yes,6.924671,7.829481,8.496587,8.946078,9.293652,9.857877,10.235062,10.585987,10.983347,11.351163,11.470582,11.851638,12.007869
yes,7.575515,8.742261,9.465788,10.639043,10.998622,11.505886,11.574162,11.238914,11.051493,11.373673,11.710583,11.899726,11.827233
yes,7.657304,8.199232,8.960287,9.706018,9.594782,9.908981,10.452856,11.029844,11.650263,12.20369,12.270797,12.350519,12.704732
yes,7.692318,8.286439,9.483592,10.30324,9.916147,10.47402,10.996359,11.475092,11.928532,12.399208,12.540415,12.71658,12.875111
yes,7.764454,9.370551,9.842242,10.822668,10.170431,10.461281,11.35234,11.657708,12.104862,12.526155,12.312619,11.677241,11.613064
yes,9.142823,10.458794,11.142999,12.01688,11.684712,11.902919,12.699224,13.367713,13.893957,14.016435,13.91725,14.18314,14.260893
yes,6.140137,7.381881,9.046486,10.271494,9.883221,9.745731,9.533497,9.476772,10.080534,10.085234,9.892595,9.544795,9.571114
yes,5.934616,6.918318,7.627917,8.040854,8.23934,8.479666,8.913863,9.006659,8.963329,9.017796,9.287499,9.551937,9.546398
yes,6.497402,7.98157,9.536441,9.607601,9.164539,9.211935,9.396499,9.20318,9.059768,9.249786,9.419359,9.578881,9.872036
yes,5.214727,6.135385,7.125049,7.348096,6.854843,7.259125,7.614655,8.00592,7.991469,8.406901,8.561626,8.748072,8.623513
yes,5.851622,6.97115,7.621698,8.089736,8.288391,8.432998,8.472684,8.508091,8.48285,8.757722,9.204399,9.557824,9.842611
yes,5.610361,5.507931,5.850838,5.978985,5.983139,6.276232,6.583804,6.77771,6.91496,7.078866,7.207828,7.225489,7.22141
yes,7.359076,8.871151,10.136069,10.51964,10.591721,10.600658,10.464879,10.848992,10.947588,10.886546,11.391078,11.46016,11.581689
yes,6.037407,7.302402,9.276928,10.098659,9.503999,9.623569,9.95247,9.907444,10.013432,10.256003,10.310958,10.240058,10.182257
yes,5.480883,6.721389,8.578268,9.510206,8.686544,8.678863,9.084151,9.109131,9.382963,9.625596,9.650025,9.383961,9.175724
yes,5.345745,6.269792,7.702211,8.188419,8.114211,9.122519,9.409891,9.148785,9.416327,9.414639,9.011732,8.841842,8.977654
yes,6.784677,8.355222,9.178058,9.634107,9.702447,10.151863,10.446671,10.474637,10.856133,10.648186,10.316191,10.29143,10.380434
yes,4.934982,5.865135,6.696088,6.968574,7.221453,8.133083,8.269442,8.385208,8.586958,8.538071,8.087981,8.02889,8.088328
yes,8.573085,9.381898,9.944263,10.679806,11.666495,13.31275,13.606026,12.810635,13.530704,14.290572,15.232823,14.831014,14.234351
yes,6.465671,7.373283,8.035484,8.176708,8.4327,8.841314,9.059911,9.031907,9.151375,9.07366,9.041389,9.226534,9.414618
yes,4.308842,4.868641,5.997937,6.399952,6.650799,7.331881,7.361222,7.302469,7.270062,7.413675,7.598533,7.866253,8.201143
no,9.9128,10.90493,10.586308,10.369766,10.255873,10.267833,10.355687,10.649499,11.026524,11.338547,11.437889,11.473559,11.437077
no,1.963593,3.470601,5.225543,4.403006,3.162574,3.634152,4.223655,5.125713,5.419704,6.309885,6.813978,6.749753,6.583974
no,2.815956,3.6682,4.08665,4.278554,4.43031,4.694782,4.930093,5.150305,5.321168,5.533097,5.716806,5.895722,6.04399
no,2.824257,3.675635,4.060296,4.306143,4.400326,4.624674,4.92433,5.168188,5.373262,5.608225,5.756771,5.937194,6.11249
no,2.664068,3.652514,4.05877,4.250178,4.362601,4.624483,4.910489,5.17423,5.338963,5.544132,5.755066,5.921427,6.105699
no,2.685684,3.663396,4.086778,4.257611,4.35674,4.662464,4.905228,5.133216,5.299837,5.523778,5.729492,5.910849,6.068326
no,2.630862,3.619361,4.063559,4.275772,4.460005,4.683138,4.933695,5.128887,5.322298,5.574287,5.753345,5.889288,6.068324
no,2.618669,3.647926,4.033243,4.26599,4.382485,4.66503,4.923787,5.127498,5.329601,5.526258,5.713586,5.893867,6.097772
no,2.762396,3.675082,4.057584,4.259334,4.422654,4.706538,4.919929,5.104405,5.320161,5.564951,5.796459,5.998192,6.124562
no,7.440912,8.055627,9.398543,10.822739,10.342204,10.042439,10.914819,11.081227,10.896416,11.165227,11.234733,11.631125,12.040678
no,5.888073,7.61747,7.42769,7.4016,7.330907,7.490842,7.923509,8.075728,7.906692,8.158213,8.317383,8.459242,8.829129
no,4.117803,5.115511,6.319095,6.692847,6.429671,6.888103,7.045194,7.31695,7.556006,7.775411,8.147544,8.231141,7.971547
no,3.646817,5.157395,5.762418,5.676609,5.753666,6.207646,6.078821,6.398368,6.405675,6.274528,6.564117,6.541178,6.520538
no,5.45456,6.382488,6.851404,6.664355,6.483101,6.693006,6.722469,7.025183,7.226805,7.22989,7.482891,7.80971,7.842843
no,3.532674,5.055791,5.77193,6.130455,6.086682,6.380995,6.286381,6.574299,6.665529,6.490215,6.747822,6.679121,6.6447
no,4.992413,6.424979,7.28399,7.632188,8.271335,8.694609,9.160505,9.204317,9.285254,9.673176,9.997915,10.162949,10.349815
no,5.189082,6.089479,6.809736,7.191099,7.582838,8.101845,8.687429,8.914357,9.198549,9.639199,10.070373,10.532202,10.847514
no,3.749407,4.957015,5.885357,6.390826,6.667972,7.086444,7.496475,7.847771,8.050787,8.325629,8.576002,8.766569,8.877416
no,5.020731,6.262518,7.186553,7.73041,8.108613,8.420141,8.727645,8.858049,9.011196,9.245242,9.511079,9.923215,10.085559
no,7.118204,9.075988,9.634238,9.982281,10.001045,10.417765,10.259431,10.203166,10.187278,10.339759,10.533084,10.826114,10.98823
no,4.620415,5.60755,6.156749,6.412232,6.578351,6.790426,6.993633,7.165705,7.257559,7.419276,7.588457,7.710767,7.807242
no,4.510804,5.414994,5.957633,6.19711,6.325998,6.552652,6.728917,6.896184,7.192414,7.35015,7.427673,7.442041,7.545056
no,4.3899,5.252911,5.750698,5.902012,5.899543,6.142541,6.3852,6.591513,6.676441,6.88701,7.029859,7.089485,7.188575
no,5.338234,5.936954,6.372795,6.580057,6.653506,6.954365,7.224604,7.541652,7.651464,7.69587,7.70458,7.838893,7.92924
no,4.419894,5.551007,6.332538,6.767644,6.982612,7.429051,7.749171,8.08815,8.247917,8.552914,8.842814,8.897697,8.877099
no,7.24835,8.589907,11.450706,11.883843,9.37643,8.685914,8.871594,8.942596,8.853519,9.242839,9.582252,8.814013,8.674291
no,5.921199,6.587096,7.311079,8.047494,8.651134,9.340282,9.866614,10.138292,10.295706,10.43252,10.395384,10.169509,10.228783
no,9.627289,10.484155,11.263591,11.454376,11.698555,13.17421,13.464459,13.605856,13.890579,13.314495,13.123674,13.186069,12.009759
no,9.517898,10.438967,11.206404,11.43031,11.742645,13.054783,13.381767,13.547712,13.96875,13.329247,12.989246,12.910871,11.741173
no,3.961481,5.037625,5.819399,6.380864,6.214759,6.071284,6.089913,6.369861,6.303321,6.496668,6.717081,6.890278,6.947333
no,5.030524,5.890517,6.348412,6.48054,6.491159,6.701652,6.820727,6.970923,7.157425,7.385118,7.640585,7.69643,7.615144
no,6.44379,7.740743,9.132591,8.840319,8.916526,8.580214,8.853694,8.235252,8.605578,8.968249,9.215548,8.662197,8.449532
no,5.310295,6.756009,8.260391,7.758605,7.507328,7.423845,7.199783,7.626845,7.854434,8.152046,8.322091,8.0279,8.245875
no,3.016568,3.856357,4.316998,4.522073,4.570633,4.780799,5.104741,5.368242,5.513353,5.709833,5.896396,6.080675,6.238442
no,2.947625,3.805539,4.225057,4.423821,4.507135,4.821842,5.161816,5.394613,5.490332,5.698076,5.807717,6.016507,6.242375
