speech; Avgf0; Avgf1; Avgf2; Avgf3; Avgf4; Avgf5; Avgf6; Avgf7; Avgf8; Avgf9; Avgf10; Avgf11; Avgf12
yes;394.253.099.768;363.438.960.362;385.294.288.269;39.207.165.162;436.602.916.884;46.331.545.162;437.991.247.056;438.935.917.081;450.889.508.688;452.850.141.626;465.076.578.801;481.439.083.915;479.797.674.574
yes;415.350.774.823;342.688.550.111;402.473.960.378;405.779.790.171;429.159.028.216;448.752.309.458;436.655.455.402;450.599.618.633;45.701.434.576;462.686.599.768;477.028.778.168;512.701.802.335;514.747.768.174
yes;47.988.946.771;385.878.456.909;42.068.751.314;40.845.768.426;429.058.294.809;461.523.992.975;4.590.445.219;46.520.680.097;465.078.473.929;46.944.879.703;494.008.645.178;505.051.920.229;510.972.394.171
yes;409.956.680.927;321.979.623.999;347.445.447.285;338.204.852.512;369.556.022.744;399.225.746.365;390.322.484.704;391.748.150.729;383.433.690.757;407.760.925.167;444.153.109.883;484.493.762.431;48.009.637.408
yes;725.682.405.757;636.677.197.195;667.499.572.778;662.590.186.391;68.871.937.352;694.166.399.423;680.894.466.745;706.152.581.496;698.095.179.214;684.625.583.242;68.347.984.921;703.447.609.019;661.817.592.412
yes;579.859.386.858;489.426.882.223;493.048.584.884;483.754.031.881;508.624.775.313;521.279.866.374;506.980.129.369;52.263.955.229;501.197.561.978;500.477.176.961;512.055.189.483;538.829.894.222;531.311.839.039
yes;512.151.824.218;451.130.007.228;477.200.619.317;458.050.975.946;491.198.131.681;502.416.581.277;494.777.393.853;506.059.436.624;480.176.848.647;477.377.551.179;482.002.343.982;506.466.251.313;510.456.816.301
yes;496.954.070.748;427.688.475.865;487.321.746.371;470.152.063.684;471.204.673.924;469.118.017.066;448.022.003.512;472.180.323.785;480.599.759.118;480.540.729.374;49.258.444.054;496.889.243.043;467.447.188.056
yes;590.447.375.327;500.974.463.351;543.636.941.568;562.860.396.046;589.234.522.731;615.868.750.769;61.793.533.467;625.151.867.096;629.354.316.948;652.610.855.306;669.527.204.682;67.398.201.465;628.855.942.171
yes;822.316.921.416;661.773.990.026;584.723.768.484;564.425.465.875;55.351.050.726;554.490.832.898;520.829.385.923;510.547.464.802;498.449.218.165;497.841.417.498;501.385.362.371;507.246.134.243;499.174.343.354
yes;591.795.232.252;506.956.759.889;541.187.182.068;530.006.738.115;560.460.305.709;576.879.101.506;561.092.415.426;57.183.387.968;566.538.785.015;55.825.160.995;559.715.599.567;589.387.996.722;58.278.476.843
yes;394.998.843.391;303.688.719.657;34.634.700.052;361.386.729.722;369.623.235.777;381.544.278.579;380.131.509.702;390.534.113.465;38.759.904.752;419.486.103.553;448.065.536.208;475.347.861.269;476.777.671.439
yes;644.773.789.923;500.917.573.144;497.463.352.548;486.775.053.695;502.474.054.207;524.348.661.839;514.625.593.421;537.047.884.923;542.691.860.244;554.596.033.191;568.268.829.862;593.105.825.738;596.319.246.923
yes;442.911.252.127;342.744.874.401;365.489.632.717;359.816.612.151;379.330.606.467;404.408.659.629;388.968.647.347;406.364.437.683;403.649.186.659;416.752.666.337;446.148.059.412;471.814.240.349;470.450.765.189
yes;429.786.400.088;324.636.433.124;340.274.304;339.803.845.767;365.407.595.761;377.997.608.939;363.434.604.367;387.988.380.014;39.235.616.306;40.655.832.597;440.088.067.265;491.596.755.458;474.981.333.964
yes;538.968.371.524;42.106.674.187;415.277.626.465;408.476.526.479;420.069.274.415;453.487.902.288;434.200.856.618;419.274.609.799;433.576.094.387;445.367.463.622;462.431.551.027;462.406.657.137;473.794.750.168
yes;645.962.557.913;562.501.816.208;596.796.859.477;591.582.833.231;607.278.111.423;629.965.167.372;630.298.897.945;640.738.500.728;662.518.144.961;691.731.066.926;717.688.314.637;718.360.933.941;672.951.867.835
yes;832.839.232.558;718.923.689.263;711.642.658.044;667.745.739.458;652.716.062.119;655.979.986.693;631.398.577.467;618.525.023.963;60.556.123.222;608.775.103.048;610.636.264.892;606.220.171.309;603.345.168.569
yes;627.862.780.114;550.146.179.748;58.377.025.015;566.611.405.738;593.533.267.373;607.622.851.441;600.292.535.798;617.976.861.171;639.078.823.868;64.956.346.902;662.297.820.102;670.695.314.511;667.114.761.306
yes;677.551.802.275;572.187.951.642;585.457.235.094;568.801.681.163;580.591.368.626;592.313.140.377;571.179.106.953;603.047.184.343;614.123.696.063;627.567.020.207;638.189.621.144;648.641.335.463;610.578.747.726
yes;582.705.324.805;49.579.109.249;489.228.900.908;486.484.948.667;505.212.032.422;55.163.792.714;532.172.232.587;537.774.152.989;552.756.980.546;567.174.913.237;583.008.584.009;58.058.310.285;575.289.231.885
yes;491.498.481.994;400.783.849.828;450.962.859.816;464.945.863.607;478.970.204.657;489.490.856.687;485.015.404.383;523.170.972.897;519.534.457.698;531.802.379.163;559.384.674.323;584.496.899.116;581.497.494.101
yes;69.807.823.563;594.141.128.241;598.254.832.413;591.069.647.056;612.725.633.438;625.476.159.407;607.171.569.198;631.221.692.614;624.380.254.338;621.107.226.499;636.804.074.192;647.873.303.377;61.646.897.334
yes;576.359.583.612;459.931.925.308;465.543.317.551;464.466.156.956;486.569.626.097;531.900.113.903;51.379.934.839;52.095.965.324;523.587.166.947;540.035.615.115;556.321.510.371;54.995.703.179;555.616.619.408
yes;595.108.356.558;542.558.744.463;575.488.461.617;608.728.508.892;657.785.889.053;677.232.608.122;682.435.555.647;696.845.406.396;678.671.125.282;675.791.776.934;691.186.319.649;708.292.262.368;674.037.299.005
yes;843.898.520.794;721.886.194.406;668.414.468.534;660.133.592.356;669.373.244.157;686.344.142.413;652.886.524.711;645.905.958.201;618.679.113.202;609.651.798.232;610.721.482.269;609.882.642.356;604.671.770.659
yes;872.425.582.163;662.049.122.707;710.730.773.159;68.180.776.035;67.550.894.869;688.386.886.371;655.176.135.093;645.625.625.341;62.704.874.422;62.647.444.078;621.369.668.489;62.193.059.768;617.798.701.145
yes;42.686.701.006;365.819.152.292;439.789.716.729;443.814.713.658;450.905.655.471;47.024.136.606;460.845.451.436;483.663.655.712;496.741.515.603;526.701.053.451;535.145.217.325;577.007.138.145;568.680.242.009
yes;468.701.899.428;400.351.376.178;435.142.551.925;425.200.352.876;44.499.599.122;472.364.910.427;453.679.515.445;465.580.181.547;46.355.825.402;488.100.256.769;50.434.419.728;520.599.509;534.904.480.801
yes;421.868.498.246;346.380.190.281;383.129.616.153;379.047.882.097;402.187.655.807;423.687.007.237;417.243.389.749;429.119.300.244;433.840.033.213;465.873.039.214;499.552.768.966;532.354.795.932;511.578.326.552
yes;827.886.870.588;729.233.851.507;693.308.221.156;645.124.443.399;662.592.780.918;666.300.980.821;637.648.856.098;633.045.525.361;624.423.860.853;621.003.441.803;615.022.239.271;618.783.210.219;603.215.444.403
yes;619.488.390.511;493.963.647.335;508.810.666.876;503.046.792.666;533.232.651.097;555.974.627.118;539.569.306.643;56.341.819.285;577.525.498.166;594.957.543.044;599.304.834.887;619.373.086.691;614.376.999.073
yes;444.767.523.094;357.291.830.492;398.425.540.529;391.777.666.962;423.807.419.802;445.466.683.036;430.219.298.258;449.424.118.794;453.587.675.574;475.357.730.941;499.389.752.539;537.586.389.681;520.252.175.156
yes;589.533.578.196;528.936.465.471;575.252.223.925;596.017.171.284;623.200.790.915;63.241.263.182;634.197.348.008;659.552.019.487;674.286.820.122;702.567.306.312;709.624.068.062;711.301.374.519;677.913.694.316
yes;432.097.121.299;357.575.738.388;404.490.605.561;39.753.940.675;435.553.887.032;451.749.000.071;439.427.970.618;456.356.319.322;459.361.054.796;491.416.463.233;523.904.627.693;561.696.324.886;540.728.393.705
yes;675.583.689.163;518.403.995.358;51.886.074.508;517.512.827.091;550.248.359.987;544.715.044.633;531.014.952.623;564.693.680.785;575.579.825.421;60.339.796.892;612.233.130.197;612.363.006.019;583.993.215.117
yes;860.919.449.827;713.214.542.585;656.810.472.886;650.618.340.391;638.354.291.603;650.159.866.335;61.937.288.066;603.744.161.423;585.966.614.979;583.195.929.154;581.658.000.549;573.170.456.445;566.238.940.451
yes;494.534.328.145;415.559.715.799;444.231.356.341;416.274.436.982;453.794.670.829;471.850.899.963;451.087.142.732;442.031.050.968;445.923.743.228;46.316.096.944;493.789.377.696;526.457.657.822;498.209.039.554
yes;629.263.694.735;49.480.420.073;500.020.507.829;480.921.854.923;498.286.996.711;506.216.021.482;486.421.966.584;48.436.133.748;479.762.929.605;482.823.806.375;497.699.218.002;516.609.703.465;507.261.781.751
yes;647.187.462.531;549.772.558.751;554.960.838.913;536.808.631.532;560.120.815.997;578.128.976.233;547.713.272.436;559.644.681.444;553.203.932.291;557.230.832.681;564.699.509.597;581.335.241.049;538.997.996.886
yes;67.808.264.632;51.367.580.649;506.805.939.276;492.907.914.077;529.357.546.855;52.996.909.534;509.868.261.141;517.263.478.568;523.554.376.141;54.680.447.932;564.840.401.656;575.790.862.799;532.026.942.098
yes;682.448.354.315;569.213.113.743;585.798.730.355;569.532.853.146;573.707.486.335;593.018.739.745;573.996.518.932;582.290.127.432;582.906.663.676;597.424.165.087;616.296.273.605;617.391.430.939;618.670.970.879
yes;462.290.794.807;387.949.393.063;40.076.830.889;396.190.468.304;426.012.931.594;448.245.804.636;431.850.609.105;439.409.906.353;44.002.924.037;449.502.353.367;474.162.289.079;507.445.485.416;490.781.003.329
yes;673.923.063.088;565.748.162.869;590.550.043.586;588.286.896.184;61.526.266.146;632.527.722.075;617.061.319.245;638.594.927.252;643.647.364.985;637.883.751.348;652.305.477.732;65.689.290.503;65.007.937.852
yes;470.524.452.243;38.737.305.578;423.126.146.693;4.141.964.359;447.548.298.031;467.752.609.618;452.601.237.117;465.685.075.763;472.665.037.224;494.897.584.737;536.626.583.403;57.413.026.569;546.140.530.739
yes;525.159.409.116;461.558.236.577;529.237.795.494;530.852.573.081;552.440.280.719;585.273.621.814;581.862.311.954;591.264.599.943;612.057.479.133;629.494.981.583;632.132.425.708;636.555.434.275;578.465.195.221
yes;622.015.491.354;491.641.310.885;531.077.009.792;516.636.890.913;522.201.887.398;550.894.947.548;530.684.910.338;54.851.061.612;562.452.745.308;585.944.826.391;605.836.843.919;62.840.232.818;623.721.482.738
yes;583.344.143.068;447.541.438.672;454.093.293.638;441.282.486.058;453.735.978.726;470.494.321.858;443.357.624.845;452.790.694.823;461.633.276.152;476.551.690.671;495.294.965.542;52.186.949.963;512.837.361.266
yes;555.733.385.289;525.519.120.528;563.155.366.808;589.331.458.432;623.917.897.835;625.005.665.781;591.013.813.242;591.510.709.582;592.465.964.338;622.412.200.778;638.381.008.866;669.017.080.143;653.438.550.415
yes;697.478.763.036;54.975.173.789;551.772.571.919;555.257.154.459;579.934.671.084;575.684.976.051;552.410.431.469;580.117.229.707;611.816.969.506;632.644.522.861;656.763.224.753;675.496.127.855;628.419.418.904
yes;638.926.068.138;473.614.472.137;520.841.412.894;471.992.424.577;498.041.673.548;504.072.196.005;495.772.731.331;547.463.538.979;566.302.403.015;573.447.046.489;548.922.449.724;554.925.907.001;511.932.510.432
yes;603.970.137.637;46.863.757.112;50.303.156.708;48.953.985.227;497.640.023.478;526.187.703.608;517.713.250.382;535.306.253.616;555.543.433.572;572.393.476.561;590.778.898.324;608.328.129.213;609.477.343.305
yes;587.342.262.577;46.542.328.309;468.091.127.267;45.425.713.304;474.752.305.833;496.590.307.922;482.055.677.722;49.223.348.368;513.833.314.957;522.179.512.021;525.245.577.139;535.238.513.612;5.252.160.741
yes;699.760.559.828;567.479.871.481;564.602.321.302;570.568.760.861;611.620.988.138;618.438.164.949;600.940.880.969;637.160.872.166;677.161.940.522;687.224.784.945;694.923.342.096;691.802.714.978;652.382.425.741
yes;559.799.387.725;486.138.477.514;533.683.969.838;550.226.645.609;609.636.213.021;634.925.607.527;630.879.057.387;643.536.224.568;652.749.473.203;671.541.299.772;679.864.401.008;679.069.462.818;636.668.511.184
yes;642.358.500.765;500.499.764.838;531.335.301.054;489.241.486.733;513.855.702.934;526.373.506.452;527.779.323.607;575.511.580.524;596.771.997.402;607.682.800.718;579.321.665.079;579.141.737.782;530.891.765.235
yes;601.317.120.576;550.726.651.857;580.204.264.893;583.183.075.575;619.583.245.623;645.599.873.891;642.357.574.846;668.996.121.457;723.586.302.511;751.898.369.721;744.660.056.991;731.439.846.312;673.321.122.516
yes;685.261.218.641;559.363.270.934;604.788.931.721;60.106.414.534;652.504.251.277;690.704.856.644;744.341.715.728;734.368.798.607;770.533.733.365;774.493.302.825;748.732.100.821;711.483.333.657;689.197.294.304
yes;497.372.189.009;436.088.540.368;521.246.594.282;547.371.332.462;564.366.005.578;600.539.442.935;61.342.447.334;627.402.140.276;625.185.257.374;62.465.983.958;617.727.802.521;61.562.051.947;56.679.115.749
yes;600.145.583.069;480.410.540.826;514.132.685.941;500.686.578.929;514.631.343.432;545.673.869.365;546.045.221.036;578.136.087.509;595.324.687.263;605.168.991.155;606.345.607.032;619.789.080.705;62.564.823.785
yes;458.875.326.742;380.191.448.274;418.609.565.399;411.376.338.548;442.639.836.824;476.973.388.114;46.445.533.611;475.105.530.131;490.573.090.106;511.095.168.297;538.308.686.573;563.689.164.069;545.741.473.329
yes;537.415.525.386;484.695.492.148;525.993.418.584;535.906.836.677;572.969.837.053;585.805.143.498;564.832.103.703;555.502.620.654;543.556.806.186;562.249.844.527;58.090.659.742;603.360.769.287;579.606.464.502
yes;528.744.697.563;447.932.702.239;510.842.824.747;51.955.594.159;560.498.380.033;579.707.301.525;5.623.286.401;567.431.693.507;575.010.971.213;593.122.166.899;609.082.872.206;610.446.280.051;588.830.176.556
yes;678.317.006.615;575.708.873.821;625.712.298.924;615.576.350.537;660.483.565.632;686.205.867.678;700.887.992.133;708.965.631.114;742.806.552.451;72.802.328.596;716.149.304.096;690.419.493.268;675.899.360.339
yes;481.229.725.624;451.169.011.528;517.613.127.624;510.130.349.509;50.027.547.708;491.333.708.277;465.150.782.654;478.971.540.506;500.057.244.273;531.597.529.393;554.035.787.964;597.999.766.113;559.674.107.416
yes;589.073.844.857;459.327.271.558;486.113.861.927;460.256.243.467;456.146.053.045;468.965.895.385;452.181.462.233;464.896.523.831;503.635.544.724;528.566.758.078;55.322.214.741;58.189.306.271;576.213.898.445
yes;578.237.667.677;449.157.209.516;468.936.110.706;449.365.498.305;457.340.245.215;462.466.768.756;431.399.020.462;431.732.913.613;445.144.515.242;45.404.063.054;466.809.307.922;49.799.416.226;48.928.750.781
yes;683.319.361.582;53.523.932.003;523.438.212.261;512.395.473.546;542.872.502.641;54.501.132.506;505.400.436.041;528.750.868.626;564.278.526.071;601.291.487.922;615.671.419.878;62.010.633.857;576.319.834.878
yes;613.639.373.593;560.204.811.034;602.982.319.627;592.802.575.995;596.893.091.288;615.783.064.978;596.915.888.806;607.147.486.486;665.147.456.447;695.326.556.297;697.120.015.047;700.029.749.283;644.548.820.284
yes;487.112.739.305;420.848.740.913;455.140.254.371;46.246.755.165;51.500.524.963;537.788.917.413;50.743.343.894;495.253.969.498;480.496.533.613;520.987.601.635;539.061.814.117;555.032.805.422;533.137.806.058
yes;463.504.093.993;429.500.727.169;509.001.600.019;51.996.428.661;527.074.590.886;521.799.831.306;478.479.871.123;476.192.099.541;46.123.261.773;49.107.561.782;526.355.467.679;548.099.162.164;523.341.687.344
yes;632.677.792.745;577.420.536.103;617.628.326.903;61.904.334.642;660.292.016.021;688.890.797.474;664.591.724.898;672.321.592.163;673.477.528.886;702.097.458.191;69.323.445.515;667.627.490.495;639.935.739.157
yes;554.704.694.111;423.373.162.161;425.090.781.249;407.433.472.483;411.859.274.455;411.157.832.658;390.527.587.546;399.716.792.984;389.201.320.019;389.549.381.029;412.141.643.296;439.006.101.382;442.911.489.645
yes;489.664.581.525;385.142.930.248;414.746.493.981;404.767.189.143;421.500.290.797;445.347.800.881;429.637.314.914;445.256.080.945;45.407.509.011;456.660.740.503;476.678.423.903;506.029.012.616;514.956.176.748
yes;467.952.565.823;406.590.295.356;47.315.675.469;490.048.230.977;495.877.696.139;519.468.977.132;526.818.613.081;522.826.911.011;507.287.673.208;505.614.835.506;525.815.251.384;535.085.766.437;483.543.552.741
yes;608.610.945.122;552.897.459.512;594.473.334.988;585.868.760.877;616.535.128.001;648.214.521.781;617.836.325.106;630.804.398.416;63.968.257.543;67.612.026.817;667.162.996.205;645.645.034.443;622.833.250.639
yes;486.256.113.247;404.043.540.195;483.782.305.953;475.233.585.661;470.772.068.685;496.722.469.525;506.469.486.132;515.681.863.209;516.009.933.369;514.704.615.137;517.254.120.703;539.915.170.983;494.461.616.291
