@relation melfeatures

@attribute speech {1,0}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
0,6.472605,5.702068,5.736954,5.729906,6.05864,6.508127,6.665546,6.793854,7.298345,7.878463,8.43634,9.360535,9.974656
0,6.48635,5.586882,5.735807,5.796283,6.102958,6.780532,6.740628,6.928752,7.478386,8.01816,8.905261,9.586914,10.201395
0,6.481755,5.432787,5.667556,5.684797,6.321341,6.972542,6.818242,7.114177,7.585479,8.266395,8.739142,9.354115,10.132225
0,6.503226,5.671796,5.747751,5.494144,6.205143,6.683038,6.428918,6.870202,7.284718,7.873602,8.534786,9.393524,10.041339
0,6.785477,5.801707,5.975529,5.93172,6.487866,7.069213,7.112098,7.387359,7.831906,8.119505,9.175613,9.948876,10.44788
0,6.152475,5.361766,5.426557,5.427796,6.108315,6.809339,6.725914,7.025999,7.428221,8.022048,8.773015,9.549474,10.15021
0,6.503477,5.550967,5.616607,5.520346,5.994259,6.769016,6.611834,7.060056,7.552055,7.956472,8.645081,9.333152,9.9871
0,6.355751,5.513795,5.543953,5.523311,6.038137,6.858871,6.66277,6.968736,7.498349,7.932141,8.458583,9.207887,9.931038
0,6.876014,6.097128,6.178936,6.049807,6.670169,7.267026,7.15992,7.420358,7.88349,8.195465,9.091287,9.973353,10.560815
0,5.921553,5.087843,5.185667,5.094914,5.848391,6.450071,6.487903,6.731054,7.027114,7.598094,8.304067,9.180297,9.762214
0,4.522674,4.069915,3.295036,2.976343,3.08533,3.001607,3.258947,3.489874,3.145011,2.931851,2.863612,3.150668,3.351719
0,4.349611,4.317562,3.555751,3.107613,3.025173,3.191624,3.203558,3.194822,2.955956,3.287192,3.204189,3.547166,3.715249
