@relation melfeaturesTestset

@attribute speech {no,yes}
@attribute ' Avgf0' {647.260.492.166,648.635.040.725,648.175.461.573,650.322.639.817,678.547.671.841,6.152.475.172,650.347.683.769,63.557.513.735,687.601.449.156,59.215.531.032,452.267.402.625,434.961.128.075,440.403.514.255,433.638.258.071,48.155.878.935,424.157.657.672,41.350.821.164,409.294.834.776,4.644.010.581,377.801.149.874,471.011.894.823,494.607.581.742,501.023.375.599,474.522.504.085,513.479.478.278,49.530.171.217,488.283.230.986,49.067.255.056,514.226.182.975,457.470.772.471,247.081.084.872,-259.328.700.269,642.164.220.816,457.514.010.883,630.102.325.501,117.179.497.304,74.784.732.985,151.891.857.477,615.608.175.822,629.249.784.732,0.452391404703,404.191.204.675,-0.464928445452,0.532330258452,357.514.619.863,780.059.021.378,779.985.055.312,435.486.464.099,171.063.301.551,788.842.809.852,740.228.645.303,221.480.239.561,464.415.529.879,717.360.269.157,477.964.327.077,258.848.793.312,705.767.108.833,853.773.669.019,202.970.257.314,242.194.462.736}
@attribute ' Avgf1' {570.206.849.518,558.688.196.076,543.278.655.268,567.179.647.495,580.170.735.171,536.176.635.688,55.509.671.801,551.379.514.126,609.712.780.531,508.784.279.794,406.991.515.031,431.756.210.443,421.716.484.986,397.707.932.844,450.412.295.732,406.093.120.931,402.667.708.629,398.991.976.281,441.152.200.632,379.690.733.579,302.085.588.295,31.689.195.649,339.410.678.501,32.310.109.714,332.044.242.222,303.628.801.484,310.687.158.541,336.221.039.536,338.722.660.548,287.226.710.991,0.247307598377,-120.464.258.882,638.519.209.968,461.859.355.692,496.705.649.695,946.776.490.396,695.905.949.652,0.0849601953791,354.042.538.336,394.823.001.368,-0.481374956085,596.548.834.653,-0.805453576393,177.677.053.495,268.206.457.924,609.888.297.021,759.609.226.458,344.543.764.224,148.901.714.843,76.116.482.132,861.566.479.738,152.336.404.731,327.235.410.613,585.450.042.944,506.098.845.566,242.390.344.434,797.896.315.121,693.357.970.135,163.575.315.299,217.551.441.277}
@attribute ' Avgf2' {57.369.543.662,573.580.715.896,566.755.580.076,574.775.137.763,597.552.919.431,54.265.572.298,561.660.672.611,554.395.338.391,61.789.364.139,518.566.731.778,329.503.601.576,355.575.108.447,365.922.776.524,342.189.441.727,389.398.839.906,347.387.241.556,360.723.322.305,365.449.326.009,38.501.643.109,323.791.538.993,282.215.942.068,303.834.767.434,314.841.357.813,289.974.721.739,317.219.488.282,301.960.794.867,299.191.244.224,308.243.420.402,315.878.136.397,271.613.636.511,0.324178580896,0.771512577431,584.623.246.937,564.049.850.461,570.987.753.907,867.674.360.368,802.137.337.429,123.301.350.244,292.005.252.443,399.411.726.677,-0.635272488403,651.773.298.168,-0.983742215996,218.968.483.517,136.549.652.102,612.325.484.597,872.046.259.083,399.257.595.521,171.356.205.083,843.115.805.435,784.427.753.015,208.598.604.555,309.092.879.339,522.451.351.145,658.155.520.044,295.910.731.339,774.421.525.855,687.486.374.313,207.471.006.571,242.182.037.911}
@attribute ' Avgf3' {572.990.638.243,579.628.307.662,56.847.965.189,549.414.382.428,593.172.013.392,542.779.593.883,552.034.562.214,55.233.110.231,604.980.676.927,509.491.422.485,297.634.348.336,310.761.298.464,312.056.206.208,293.842.906.727,353.510.837.198,303.009.621.643,297.028.300.394,302.099.283.775,34.610.123.918,274.606.918.292,267.233.550.275,278.744.707.818,284.976.682.104,270.014.276.507,289.785.712.711,273.762.303.239,265.726.164.911,287.243.298.199,291.507.954.128,248.419.535.463,-0.000427335361723,0.23014836869,63.879.860.911,805.137.337.848,610.038.776.469,814.927.671.394,829.541.159.715,127.322.599.222,247.590.494.698,39.645.614.277,-0.733224766064,575.794.353.504,-0.750559265382,161.662.991.878,178.263.035.967,624.339.226.148,934.949.517.831,439.865.929.897,181.676.788.892,852.515.654.972,765.446.434.925,220.235.369.856,311.032.837.321,46.229.733.362,669.549.804.496,30.892.312.309,504.274.932.787,635.070.732.104,234.135.793.088,293.853.391.409}
@attribute ' Avgf4' {605.864.006.936,610.295.771.061,632.134.064.054,620.514.256.233,648.786.570.428,610.831.527.308,599.425.915.802,603.813.691.777,667.016.947.156,584.839.137.356,308.533.030.517,302.517.330.301,299.848.920.586,272.640.004.135,373.044.914.277,307.958.317.881,28.842.291.885,292.963.317.805,394.522.968.563,292.594.080.062,29.716.915.152,317.803.030.191,321.888.224.093,302.804.013.923,343.305.305.212,309.499.038.664,306.784.389.121,30.653.852.859,344.005.919.027,281.611.683.439,0.760816905048,0.38879221387,638.726.016.927,752.490.222.701,826.002.366.787,786.758.833.817,879.338.807.635,135.369.348.305,264.043.670.108,477.775.562.462,-0.110182558803,628.723.537.574,0.284254679598,192.359.039.659,225.604.908.242,652.852.135.875,859.545.730.525,465.197.949.222,252.791.560.538,950.413.458.211,862.872.375.336,298.783.119.595,35.560.291.843,511.826.516.014,749.596.164.336,398.430.449.192,451.800.375.665,651.182.622.162,25.183.124.228,36.950.791.365}
@attribute ' Avgf5' {650.812.728.744,678.053.165.854,697.254.157.915,668.303.824.045,706.921.266.339,680.933.874.074,67.690.155.247,685.887.060.738,726.702.637.752,645.007.144.591,300.160.724.053,319.162.410.406,334.529.013.415,315.096.593.668,351.969.911.134,31.924.198.991,309.262.709.008,318.008.230.713,343.798.653.412,276.114.665.817,325.092.239.547,358.672.630.258,371.823.264.815,339.058.111.944,370.443.685.066,352.911.641.876,33.823.475.566,351.996.991.698,368.438.209.866,303.264.090.969,0.428226484911,159.500.251.131,661.358.710.392,750.119.374.179,794.296.252.445,81.088.237.753,827.481.140.328,113.193.714.855,272.711.352.823,497.770.266.192,0.417667628076,678.704.581.041,0.900120337674,200.084.051.909,225.736.334.597,728.890.401.999,731.008.706.485,551.925.876.478,254.856.193.282,862.280.285.758,97.160.659.468,352.592.705.908,376.861.690.702,53.415.305.555,910.174.589.102,471.971.297.903,476.123.333.738,662.449.085.223,248.953.601.122,449.103.773.181}
@attribute ' Avgf6' {666.554.624.871,674.062.809.968,681.824.217.069,642.891.837.159,711.209.767.441,672.591.422.535,661.183.383.826,666.276.976.318,715.991.993.392,648.790.322.881,325.894.712.803,320.355.756.556,314.453.051.736,400.934.179.871,368.560.318.191,280.136.570.949,319.337.395.299,407.016.520.866,36.073.765.434,291.282.134.436,335.516.984.393,356.245.080.003,360.457.041.169,322.148.839.582,38.649.221.191,358.767.409.655,341.143.551.009,334.275.020.456,386.371.577.838,316.117.115.217,0.118938326641,190.664.875.183,642.357.828.096,752.188.039.824,838.364.107.825,829.255.094.076,714.013.830.976,130.978.458.967,273.138.626.178,492.278.713.113,0.969159335772,631.741.030.706,117.342.636.119,258.528.040.478,27.624.921.571,734.219.629.009,739.233.225.299,673.191.273.771,278.620.976.426,835.520.236.992,954.437.238.982,374.201.619.374,386.264.720.275,646.601.792.713,950.061.431.582,52.620.790.219,451.201.826.811,662.636.528.851,285.267.501.627,503.724.160.919}
@attribute ' Avgf7' {679.385.378.196,692.875.247.311,711.417.715.804,687.020.160.423,738.735.897.482,70.259.991.786,706.005.593.829,696.873.611.347,742.035.845.393,67.310.540.261,348.987.415.705,319.482.171.659,303.419.310.134,426.512.945.255,364.802.682.549,265.635.927.669,342.296.248.867,441.738.462.999,36.284.879.337,307.138.509.097,352.665.377.946,364.974.231.322,375.324.476.104,34.772.370.548,392.594.950.509,366.732.445.961,357.071.992.369,348.760.609.822,388.219.864.133,329.912.454.489,0.00586195894662,292.757.568.107,65.755.773.504,813.300.729.689,852.866.054.101,849.424.974.485,710.438.129.431,147.487.660.098,317.761.820.556,537.383.622.756,0.918639484364,555.762.387.885,103.375.162.326,263.779.052.707,274.030.473.253,78.899.199.878,936.448.096.704,658.170.531.594,327.411.968.931,889.382.519.617,952.406.760.092,423.178.327.477,428.779.434.479,661.373.765.107,969.757.704.419,569.476.123.277,489.062.467.155,661.822.923.029,348.322.820.336,558.710.953.578}
@attribute ' Avgf8' {729.834.517.576,74.783.859.629,75.854.785.482,728.471.809.425,783.190.562.366,742.822.121.988,755.205.463.806,749.834.901.508,788.348.981.992,702.711.444.619,314.501.120.298,295.595.551.138,27.943.199.569,355.333.623.752,394.274.317.927,380.630.686.831,381.548.031.114,386.051.509.933,398.068.696.978,391.191.199.111,346.013.022.415,349.309.826.174,362.960.249.814,341.031.671.426,387.764.987.155,350.069.281.006,363.953.967.171,344.966.799.193,385.262.799.623,318.747.310.651,-0.192148886889,32.375.467.489,677.688.204.159,835.229.613.666,797.900.741.961,865.345.589.212,771.516.880.445,140.663.890.241,318.476.630.166,552.050.000.922,0.800028793929,547.852.849.969,134.353.082.906,285.044.515.643,293.222.948.608,809.229.303.256,103.981.537.848,640.218.222.361,3.487.611.417,858.198.342.283,995.965.503.317,423.525.191.611,447.996.766.486,613.757.952.412,966.975.480.829,564.753.660.387,578.351.849.699,694.383.741.196,351.943.013.718,559.256.890.771}
@attribute ' Avgf9' {787.846.283.559,801.815.955.351,826.639.544.164,787.360.160.172,811.950.491.826,802.204.847.703,795.647.211.745,7.932.140.628,819.546.541.416,759.809.403.015,293.185.114.442,328.719.174.673,367.889.355.233,375.686.993.152,440.710.323.333,438.853.860.545,397.456.185.179,362.151.763.649,434.070.627.072,439.493.516.381,327.636.521.027,343.132.085.587,361.842.559.406,323.637.941.971,371.772.213.276,354.573.909.184,350.863.715.597,343.884.676.544,376.880.566.455,324.344.106.221,0.208269131926,255.567.311.977,695.868.136.779,794.140.138.641,816.189.717.817,856.879.130.853,739.957.875.183,17.558.115.355,331.264.169.405,548.965.593.926,124.265.453,532.542.891.602,173.451.750.128,318.002.625.941,312.272.919.168,81.274.000.026,980.655.814.724,644.987.454.798,36.577.762.785,831.701.348.285,989.900.664.851,470.747.102.089,479.204.281.709,590.340.199.704,929.949.300.136,605.311.293.021,625.296.692.949,665.398.709.658,381.156.946.146,602.469.838.819}
@attribute ' Avgf10' {843.633.986.374,890.526.127.993,873.914.239.036,853.478.624.167,917.561.255.147,877.301.494.552,864.508.112.088,845.858.321.399,909.128.737.885,830.406.664.634,286.361.248.442,320.418.943.833,372.304.086.741,385.244.979.123,396.914.985.832,381.438.511.202,385.489.938.001,371.825.952.507,405.935.775.755,370.730.880.078,351.703.288.959,346.461.734.252,363.175.230.904,352.373.004.078,361.251.734.053,354.946.265.001,352.843.888.085,34.045.931.957,370.210.031.471,331.832.431.626,0.680727418577,255.355.345.489,721.321.181.873,785.984.545.781,834.910.669.524,877.645.817.938,789.897.043.156,18.018.906.135,35.638.774.774,574.198.635.102,1.625.738.996,518.160.976.235,162.605.440.294,358.300.437.697,345.236.976.595,806.480.098.247,897.429.163.483,66.695.930.682,40.442.413.969,853.224.131.615,105.563.394.132,48.947.172.294,53.932.050.653,5.947.798.878,892.474.558.251,659.039.905.348,679.554.977.526,686.589.214.076,408.780.604.227,657.806.189.735}
@attribute ' Avgf11' {936.053.530.001,958.691.446.077,935.411.450.516,939.352.438.966,994.887.591.981,954.947.414.288,933.315.239.805,920.788.707.179,997.335.325.298,918.029.706.421,315.066.785.759,354.716.606.416,359.598.176.979,362.102.257.293,358.070.025.561,395.156.580.303,397.423.685.106,380.312.563.119,374.926.431.224,356.359.764.616,354.639.815.615,365.906.587.841,370.773.607.342,372.033.367.944,389.736.912.163,37.643.985.815,368.048.342.857,362.782.508.906,383.234.583.784,349.531.496.559,204.607.113.845,327.053.473.821,754.009.721.806,728.781.186.601,817.106.259.278,904.029.822.823,828.739.184.407,210.060.650.997,404.488.090.064,589.989.341.858,186.895.743.161,485.485.486.871,172.407.383.523,393.209.758.261,388.100.588.227,848.728.066.433,972.709.299.611,726.778.916.629,447.644.976.175,821.539.392.392,110.592.750.128,537.775.259.347,598.088.675.601,606.385.975.763,879.857.322.143,707.802.558.562,724.531.382.172,750.025.135.582,436.929.538.001,694.733.989.582}
@attribute ' Avgf12' {997.465.629.057,102.013.947.679,101.322.246.231,100.413.389.842,10.447.880.349,101.502.096.466,998.709.956.458,993.103.822.895,105.608.145.518,976.221.364.572,335.171.894.527,371.524.910.139,370.581.758.191,340.208.092.178,341.993.100.867,365.611.725.567,367.197.806.942,350.482.183.683,376.062.166.813,335.292.442.164,383.352.591.921,387.995.835.211,386.373.679.835,388.357.062.201,415.773.639.214,386.657.026.014,393.201.105.515,384.225.194.893,403.010.488.796,36.870.644.951,322.059.134.769,448.493.068.791,76.109.404.773,734.257.382.772,794.040.779.895,931.453.357.892,827.135.202.286,241.079.287.696,439.915.188.904,628.266.076.824,212.836.755.482,468.589.651.416,192.519.723.133,412.236.138.932,417.136.463.612,856.177.406.133,933.213.382.995,801.502.256.767,464.072.147.164,787.270.570.126,108.874.205.703,56.449.079.886,639.038.307.767,632.437.110.339,882.280.612.393,733.913.535.506,668.502.122.637,73.973.580.127,468.420.833.235,723.134.392.502}

@data
no,647.260.492.166,570.206.849.518,57.369.543.662,572.990.638.243,605.864.006.936,650.812.728.744,666.554.624.871,679.385.378.196,729.834.517.576,787.846.283.559,843.633.986.374,936.053.530.001,997.465.629.057
no,648.635.040.725,558.688.196.076,573.580.715.896,579.628.307.662,610.295.771.061,678.053.165.854,674.062.809.968,692.875.247.311,74.783.859.629,801.815.955.351,890.526.127.993,958.691.446.077,102.013.947.679
no,648.175.461.573,543.278.655.268,566.755.580.076,56.847.965.189,632.134.064.054,697.254.157.915,681.824.217.069,711.417.715.804,75.854.785.482,826.639.544.164,873.914.239.036,935.411.450.516,101.322.246.231
no,650.322.639.817,567.179.647.495,574.775.137.763,549.414.382.428,620.514.256.233,668.303.824.045,642.891.837.159,687.020.160.423,728.471.809.425,787.360.160.172,853.478.624.167,939.352.438.966,100.413.389.842
no,678.547.671.841,580.170.735.171,597.552.919.431,593.172.013.392,648.786.570.428,706.921.266.339,711.209.767.441,738.735.897.482,783.190.562.366,811.950.491.826,917.561.255.147,994.887.591.981,10.447.880.349
no,6.152.475.172,536.176.635.688,54.265.572.298,542.779.593.883,610.831.527.308,680.933.874.074,672.591.422.535,70.259.991.786,742.822.121.988,802.204.847.703,877.301.494.552,954.947.414.288,101.502.096.466
no,650.347.683.769,55.509.671.801,561.660.672.611,552.034.562.214,599.425.915.802,67.690.155.247,661.183.383.826,706.005.593.829,755.205.463.806,795.647.211.745,864.508.112.088,933.315.239.805,998.709.956.458
no,63.557.513.735,551.379.514.126,554.395.338.391,55.233.110.231,603.813.691.777,685.887.060.738,666.276.976.318,696.873.611.347,749.834.901.508,7.932.140.628,845.858.321.399,920.788.707.179,993.103.822.895
no,687.601.449.156,609.712.780.531,61.789.364.139,604.980.676.927,667.016.947.156,726.702.637.752,715.991.993.392,742.035.845.393,788.348.981.992,819.546.541.416,909.128.737.885,997.335.325.298,105.608.145.518
no,59.215.531.032,508.784.279.794,518.566.731.778,509.491.422.485,584.839.137.356,645.007.144.591,648.790.322.881,67.310.540.261,702.711.444.619,759.809.403.015,830.406.664.634,918.029.706.421,976.221.364.572
no,452.267.402.625,406.991.515.031,329.503.601.576,297.634.348.336,308.533.030.517,300.160.724.053,325.894.712.803,348.987.415.705,314.501.120.298,293.185.114.442,286.361.248.442,315.066.785.759,335.171.894.527
no,434.961.128.075,431.756.210.443,355.575.108.447,310.761.298.464,302.517.330.301,319.162.410.406,320.355.756.556,319.482.171.659,295.595.551.138,328.719.174.673,320.418.943.833,354.716.606.416,371.524.910.139
no,440.403.514.255,421.716.484.986,365.922.776.524,312.056.206.208,299.848.920.586,334.529.013.415,314.453.051.736,303.419.310.134,27.943.199.569,367.889.355.233,372.304.086.741,359.598.176.979,370.581.758.191
no,433.638.258.071,397.707.932.844,342.189.441.727,293.842.906.727,272.640.004.135,315.096.593.668,400.934.179.871,426.512.945.255,355.333.623.752,375.686.993.152,385.244.979.123,362.102.257.293,340.208.092.178
no,48.155.878.935,450.412.295.732,389.398.839.906,353.510.837.198,373.044.914.277,351.969.911.134,368.560.318.191,364.802.682.549,394.274.317.927,440.710.323.333,396.914.985.832,358.070.025.561,341.993.100.867
no,424.157.657.672,406.093.120.931,347.387.241.556,303.009.621.643,307.958.317.881,31.924.198.991,280.136.570.949,265.635.927.669,380.630.686.831,438.853.860.545,381.438.511.202,395.156.580.303,365.611.725.567
no,41.350.821.164,402.667.708.629,360.723.322.305,297.028.300.394,28.842.291.885,309.262.709.008,319.337.395.299,342.296.248.867,381.548.031.114,397.456.185.179,385.489.938.001,397.423.685.106,367.197.806.942
no,409.294.834.776,398.991.976.281,365.449.326.009,302.099.283.775,292.963.317.805,318.008.230.713,407.016.520.866,441.738.462.999,386.051.509.933,362.151.763.649,371.825.952.507,380.312.563.119,350.482.183.683
no,4.644.010.581,441.152.200.632,38.501.643.109,34.610.123.918,394.522.968.563,343.798.653.412,36.073.765.434,36.284.879.337,398.068.696.978,434.070.627.072,405.935.775.755,374.926.431.224,376.062.166.813
no,377.801.149.874,379.690.733.579,323.791.538.993,274.606.918.292,292.594.080.062,276.114.665.817,291.282.134.436,307.138.509.097,391.191.199.111,439.493.516.381,370.730.880.078,356.359.764.616,335.292.442.164
no,471.011.894.823,302.085.588.295,282.215.942.068,267.233.550.275,29.716.915.152,325.092.239.547,335.516.984.393,352.665.377.946,346.013.022.415,327.636.521.027,351.703.288.959,354.639.815.615,383.352.591.921
no,494.607.581.742,31.689.195.649,303.834.767.434,278.744.707.818,317.803.030.191,358.672.630.258,356.245.080.003,364.974.231.322,349.309.826.174,343.132.085.587,346.461.734.252,365.906.587.841,387.995.835.211
no,501.023.375.599,339.410.678.501,314.841.357.813,284.976.682.104,321.888.224.093,371.823.264.815,360.457.041.169,375.324.476.104,362.960.249.814,361.842.559.406,363.175.230.904,370.773.607.342,386.373.679.835
no,474.522.504.085,32.310.109.714,289.974.721.739,270.014.276.507,302.804.013.923,339.058.111.944,322.148.839.582,34.772.370.548,341.031.671.426,323.637.941.971,352.373.004.078,372.033.367.944,388.357.062.201
no,513.479.478.278,332.044.242.222,317.219.488.282,289.785.712.711,343.305.305.212,370.443.685.066,38.649.221.191,392.594.950.509,387.764.987.155,371.772.213.276,361.251.734.053,389.736.912.163,415.773.639.214
no,49.530.171.217,303.628.801.484,301.960.794.867,273.762.303.239,309.499.038.664,352.911.641.876,358.767.409.655,366.732.445.961,350.069.281.006,354.573.909.184,354.946.265.001,37.643.985.815,386.657.026.014
no,488.283.230.986,310.687.158.541,299.191.244.224,265.726.164.911,306.784.389.121,33.823.475.566,341.143.551.009,357.071.992.369,363.953.967.171,350.863.715.597,352.843.888.085,368.048.342.857,393.201.105.515
no,49.067.255.056,336.221.039.536,308.243.420.402,287.243.298.199,30.653.852.859,351.996.991.698,334.275.020.456,348.760.609.822,344.966.799.193,343.884.676.544,34.045.931.957,362.782.508.906,384.225.194.893
no,514.226.182.975,338.722.660.548,315.878.136.397,291.507.954.128,344.005.919.027,368.438.209.866,386.371.577.838,388.219.864.133,385.262.799.623,376.880.566.455,370.210.031.471,383.234.583.784,403.010.488.796
no,457.470.772.471,287.226.710.991,271.613.636.511,248.419.535.463,281.611.683.439,303.264.090.969,316.117.115.217,329.912.454.489,318.747.310.651,324.344.106.221,331.832.431.626,349.531.496.559,36.870.644.951
yes,247.081.084.872,0.247307598377,0.324178580896,-0.000427335361723,0.760816905048,0.428226484911,0.118938326641,0.00586195894662,-0.192148886889,0.208269131926,0.680727418577,204.607.113.845,322.059.134.769
yes,-259.328.700.269,-120.464.258.882,0.771512577431,0.23014836869,0.38879221387,159.500.251.131,190.664.875.183,292.757.568.107,32.375.467.489,255.567.311.977,255.355.345.489,327.053.473.821,448.493.068.791
yes,642.164.220.816,638.519.209.968,584.623.246.937,63.879.860.911,638.726.016.927,661.358.710.392,642.357.828.096,65.755.773.504,677.688.204.159,695.868.136.779,721.321.181.873,754.009.721.806,76.109.404.773
yes,457.514.010.883,461.859.355.692,564.049.850.461,805.137.337.848,752.490.222.701,750.119.374.179,752.188.039.824,813.300.729.689,835.229.613.666,794.140.138.641,785.984.545.781,728.781.186.601,734.257.382.772
yes,630.102.325.501,496.705.649.695,570.987.753.907,610.038.776.469,826.002.366.787,794.296.252.445,838.364.107.825,852.866.054.101,797.900.741.961,816.189.717.817,834.910.669.524,817.106.259.278,794.040.779.895
yes,117.179.497.304,946.776.490.396,867.674.360.368,814.927.671.394,786.758.833.817,81.088.237.753,829.255.094.076,849.424.974.485,865.345.589.212,856.879.130.853,877.645.817.938,904.029.822.823,931.453.357.892
yes,74.784.732.985,695.905.949.652,802.137.337.429,829.541.159.715,879.338.807.635,827.481.140.328,714.013.830.976,710.438.129.431,771.516.880.445,739.957.875.183,789.897.043.156,828.739.184.407,827.135.202.286
yes,151.891.857.477,0.0849601953791,123.301.350.244,127.322.599.222,135.369.348.305,113.193.714.855,130.978.458.967,147.487.660.098,140.663.890.241,17.558.115.355,18.018.906.135,210.060.650.997,241.079.287.696
yes,615.608.175.822,354.042.538.336,292.005.252.443,247.590.494.698,264.043.670.108,272.711.352.823,273.138.626.178,317.761.820.556,318.476.630.166,331.264.169.405,35.638.774.774,404.488.090.064,439.915.188.904
yes,629.249.784.732,394.823.001.368,399.411.726.677,39.645.614.277,477.775.562.462,497.770.266.192,492.278.713.113,537.383.622.756,552.050.000.922,548.965.593.926,574.198.635.102,589.989.341.858,628.266.076.824
yes,0.452391404703,-0.481374956085,-0.635272488403,-0.733224766064,-0.110182558803,0.417667628076,0.969159335772,0.918639484364,0.800028793929,124.265.453,1.625.738.996,186.895.743.161,212.836.755.482
yes,404.191.204.675,596.548.834.653,651.773.298.168,575.794.353.504,628.723.537.574,678.704.581.041,631.741.030.706,555.762.387.885,547.852.849.969,532.542.891.602,518.160.976.235,485.485.486.871,468.589.651.416
yes,-0.464928445452,-0.805453576393,-0.983742215996,-0.750559265382,0.284254679598,0.900120337674,117.342.636.119,103.375.162.326,134.353.082.906,173.451.750.128,162.605.440.294,172.407.383.523,192.519.723.133
yes,0.532330258452,177.677.053.495,218.968.483.517,161.662.991.878,192.359.039.659,200.084.051.909,258.528.040.478,263.779.052.707,285.044.515.643,318.002.625.941,358.300.437.697,393.209.758.261,412.236.138.932
yes,357.514.619.863,268.206.457.924,136.549.652.102,178.263.035.967,225.604.908.242,225.736.334.597,27.624.921.571,274.030.473.253,293.222.948.608,312.272.919.168,345.236.976.595,388.100.588.227,417.136.463.612
yes,780.059.021.378,609.888.297.021,612.325.484.597,624.339.226.148,652.852.135.875,728.890.401.999,734.219.629.009,78.899.199.878,809.229.303.256,81.274.000.026,806.480.098.247,848.728.066.433,856.177.406.133
yes,779.985.055.312,759.609.226.458,872.046.259.083,934.949.517.831,859.545.730.525,731.008.706.485,739.233.225.299,936.448.096.704,103.981.537.848,980.655.814.724,897.429.163.483,972.709.299.611,933.213.382.995
yes,435.486.464.099,344.543.764.224,399.257.595.521,439.865.929.897,465.197.949.222,551.925.876.478,673.191.273.771,658.170.531.594,640.218.222.361,644.987.454.798,66.695.930.682,726.778.916.629,801.502.256.767
yes,171.063.301.551,148.901.714.843,171.356.205.083,181.676.788.892,252.791.560.538,254.856.193.282,278.620.976.426,327.411.968.931,3.487.611.417,36.577.762.785,40.442.413.969,447.644.976.175,464.072.147.164
yes,788.842.809.852,76.116.482.132,843.115.805.435,852.515.654.972,950.413.458.211,862.280.285.758,835.520.236.992,889.382.519.617,858.198.342.283,831.701.348.285,853.224.131.615,821.539.392.392,787.270.570.126
yes,740.228.645.303,861.566.479.738,784.427.753.015,765.446.434.925,862.872.375.336,97.160.659.468,954.437.238.982,952.406.760.092,995.965.503.317,989.900.664.851,105.563.394.132,110.592.750.128,108.874.205.703
yes,221.480.239.561,152.336.404.731,208.598.604.555,220.235.369.856,298.783.119.595,352.592.705.908,374.201.619.374,423.178.327.477,423.525.191.611,470.747.102.089,48.947.172.294,537.775.259.347,56.449.079.886
yes,464.415.529.879,327.235.410.613,309.092.879.339,311.032.837.321,35.560.291.843,376.861.690.702,386.264.720.275,428.779.434.479,447.996.766.486,479.204.281.709,53.932.050.653,598.088.675.601,639.038.307.767
yes,717.360.269.157,585.450.042.944,522.451.351.145,46.229.733.362,511.826.516.014,53.415.305.555,646.601.792.713,661.373.765.107,613.757.952.412,590.340.199.704,5.947.798.878,606.385.975.763,632.437.110.339
yes,477.964.327.077,506.098.845.566,658.155.520.044,669.549.804.496,749.596.164.336,910.174.589.102,950.061.431.582,969.757.704.419,966.975.480.829,929.949.300.136,892.474.558.251,879.857.322.143,882.280.612.393
yes,258.848.793.312,242.390.344.434,295.910.731.339,30.892.312.309,398.430.449.192,471.971.297.903,52.620.790.219,569.476.123.277,564.753.660.387,605.311.293.021,659.039.905.348,707.802.558.562,733.913.535.506
yes,705.767.108.833,797.896.315.121,774.421.525.855,504.274.932.787,451.800.375.665,476.123.333.738,451.201.826.811,489.062.467.155,578.351.849.699,625.296.692.949,679.554.977.526,724.531.382.172,668.502.122.637
yes,853.773.669.019,693.357.970.135,687.486.374.313,635.070.732.104,651.182.622.162,662.449.085.223,662.636.528.851,661.822.923.029,694.383.741.196,665.398.709.658,686.589.214.076,750.025.135.582,73.973.580.127
yes,202.970.257.314,163.575.315.299,207.471.006.571,234.135.793.088,25.183.124.228,248.953.601.122,285.267.501.627,348.322.820.336,351.943.013.718,381.156.946.146,408.780.604.227,436.929.538.001,468.420.833.235
yes,242.194.462.736,217.551.441.277,242.182.037.911,293.853.391.409,36.950.791.365,449.103.773.181,503.724.160.919,558.710.953.578,559.256.890.771,602.469.838.819,657.806.189.735,694.733.989.582,723.134.392.502
