speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12, filename
yes,3.07113527502,3.66081975363,3.89620886809,3.96717214973,4.41110926111,4.40281170328,4.24287570593,4.58795112105,5.0186692573,5.24341546547,5.32452434557,5.93644009041,6.51458909141,a0001 11.wav
yes,8.21616720774,7.65760055982,7.45075395908,7.26923211088,7.5018680758,7.19234256254,7.02331505736,7.4577708979,7.10361668899,7.01509629729,7.1972496655,7.75669571085,8.27618781468,a0001 12.wav
yes,11.3830954804,10.7445640365,11.0824496459,11.0510644454,11.2532452819,10.8530276774,10.6637143418,11.2386216513,11.0268305193,10.8320198086,10.8494416169,11.3305981423,11.3864410407,a0001 13.wav
yes,1.80491126616,2.97928730213,4.14775676182,4.24757396691,4.46895321522,4.54600098385,4.96952916633,5.44530079081,5.45306445847,5.65267034922,5.63691681999,6.2132979449,6.1853156597,a0001 18.wav
yes,3.68364604433,3.32764647662,3.80130316431,3.75553296253,4.10453731042,4.10896520899,4.07228238493,4.29398348754,4.32714418964,4.67661333267,5.3364863956,6.28373421105,6.08609271908,a0001 19.wav
yes,6.64032391652,5.76421210232,5.43524496722,5.35273855578,5.32014708143,5.65867523493,5.51774017388,5.34802419946,5.91644998452,6.05468712588,6.30342002838,6.34244934466,7.00960716439,a0001 2.wav
yes,7.74700633509,7.59314183214,8.49602411713,8.41517446297,8.66974253487,8.49331211847,8.50062009825,8.81473987107,8.83770662919,8.68499137487,8.79038915183,9.30269641716,9.43839307936,a0001 20.wav
yes,7.26128112715,6.68956322967,7.57406276162,7.69534165571,7.61197149554,7.60594845789,7.95934274643,8.89302671297,9.34198089918,9.71061752431,10.4485931448,11.0506366148,10.911468186,a0001 6.wav
yes,9.30907323379,8.19286512169,8.37588726509,8.23937475354,8.21624967302,8.06866454106,7.99163112575,8.49915075998,8.74679198923,9.10416309089,9.86416684803,10.5227160565,10.6930960627,a0001 8.wav
yes,10.1387468272,8.93867291674,9.11958008551,9.06169828493,9.23547155637,9.3506433035,9.38003271382,9.98446330372,10.2999188827,10.6976697066,11.2816186895,11.7839435802,12.0003509568,a0001 9.wav
yes,9.87930474719,8.89510554963,8.73367981502,8.49239362754,8.43858208126,8.39592277642,8.31373757188,8.70140507222,8.8556349943,9.03504570219,9.86838619721,10.6510910435,10.8552571931,a0002 10.wav
yes,11.3774937688,10.3020703858,10.6751206614,10.5288706885,10.8324756639,10.9681204223,10.7190679109,11.4912272103,11.9109187939,12.1491824572,12.4307575755,12.6439415744,13.0186440109,a0002 11.wav
yes,7.70566512806,7.71381855572,8.37798356727,8.78845264945,9.08891226885,9.25537718466,9.5851388357,9.87132203952,10.1068032703,10.3184499968,10.4955916177,10.9130231197,11.0034702938,a0002 12.wav
yes,4.52664870535,4.68682058169,5.64760594292,6.05655218622,5.70867171961,5.35521864057,4.43584668412,4.76629514751,4.85577259277,4.90471030454,5.2852567247,5.60663262834,5.27500032748,a0002 13.wav
yes,3.8820772244,4.22651848475,4.05240221538,4.06424636039,4.51036234961,4.61872187535,4.44455616705,4.67627419543,5.00434928747,5.33694732066,5.30329725371,6.0358283498,6.65188808097,a0002 15.wav
yes,7.04215827631,7.02632088607,7.09229894811,6.77756012233,7.06638093712,6.73845443748,6.6722030962,7.11028723746,6.65711094051,6.56970507424,6.56460566888,7.20359008473,7.79242102474,a0002 16.wav
yes,9.55596185685,8.6811305992,8.89174491513,8.71265262115,8.9509425892,8.73091524823,8.43295645883,9.02014626901,9.20960192204,9.10035866963,9.07965075341,9.39780518997,9.46040558283,a0002 17.wav
yes,6.92342198641,6.06976098514,5.65625118155,5.60863801572,5.61305202606,6.08360322583,5.89714622595,5.59485377036,5.96773196984,6.05056202715,6.30966365561,6.28754774977,6.82797396576,a0002 2.wav
yes,4.6079231566,4.21540457918,4.80284453201,4.79433075101,4.8852019286,4.946274017,4.9228880493,5.26786222843,5.25505817032,5.4269880003,6.07974645148,6.59142157733,6.69892024817,a0002 20.wav
yes,1.09170569717,2.45928468085,3.51049086873,3.76570846467,4.11607118064,4.4403092599,4.91793067322,4.94378803339,4.67586008082,5.22113821465,5.29808290327,5.70297229268,5.63797690818,a0002 22.wav
yes,3.39704531212,3.05996771694,3.41259018686,3.35164780231,3.5200490597,3.62715986484,3.7040713862,4.07132445749,4.13165443702,4.52560632288,5.22914903909,6.41195745204,6.05101998928,a0002 7.wav
yes,6.30356838139,4.82432844381,5.02199062349,4.78502544779,4.77297575904,4.83644875344,4.80911299759,5.15849095856,5.35278965792,5.32273121066,5.75848657276,5.99678809609,6.11080226848,a0002 8.wav
yes,8.68087930841,7.13224768801,6.73985085852,6.33730437666,6.23004700593,5.98328475166,5.71185349384,6.14109835359,5.93069616048,6.19571904274,6.69164736932,7.9405477587,8.33478140591,a0002 9.wav
yes,7.86149250735,7.72412994057,8.39836469987,8.14053831058,8.49531911192,8.49125314725,8.51715074624,8.77687644449,8.76047840391,8.38206665694,8.45067681271,9.03734669775,9.03441753274,a0002.wav
yes,4.89231118132,5.48345838506,6.54698042328,6.48185435994,5.86672138747,5.40986628965,4.4754891914,4.80477143908,5.1571847632,5.38366425071,5.78596936621,5.97204055488,5.68001033346,a0003 10.wav
yes,3.8004433313,4.73093825501,6.15351513519,6.08856897806,5.12656055718,4.6439870645,4.40821548551,5.15055723196,5.78244768088,5.68018547952,5.60877209366,6.43317923074,6.14262906502,a0003 11.wav
yes,3.38939040367,4.21870506802,3.97787180306,3.86436528629,4.13495728927,4.12376529682,3.79050586546,3.97960568744,4.7301913167,5.62671037997,5.85710556272,6.52743314454,7.0404451251,a0003 12.wav
yes,7.73642550019,7.60670983079,7.32910963509,6.6905360379,7.1884878946,6.79200722519,6.49687311936,6.89994618973,6.64588042098,6.69216860761,7.05765365844,7.89239997177,8.2736677792,a0003 13.wav
yes,9.8267832874,9.14009210161,9.21200801635,8.95085294653,8.90124752358,8.71703853849,8.38425708751,8.99015106189,9.31113020597,9.43860876556,9.58163807033,9.86313500187,9.92965352266,a0003 14.wav
yes,8.63799883925,8.94022474994,9.00051673638,8.77711268092,8.77455330132,8.65467373304,8.33956807165,8.87087642173,9.74537352306,10.1836914229,9.9013384162,10.690993901,10.8573646896,a0003 16.wav
yes,8.03244855986,8.10726988651,8.70168650365,8.17774736371,8.45606616159,8.24697916684,8.06635440797,8.60227999744,9.0400269866,9.27135981858,9.49786775842,9.81663242671,9.83941489566,a0003 21.wav
yes,4.10615380642,3.70000317511,4.28958567821,3.73545888207,3.99345272949,3.93364136307,3.83681620779,4.23114215956,4.59468302666,5.34895014124,6.16477640461,7.05524175564,6.26681378985,a0003 22.wav
yes,6.68778753595,5.63766122987,5.93073819191,5.62795612445,5.37667361844,5.40712885925,5.16575482344,5.8076869403,6.31869498798,6.41497232763,6.86485144898,7.0327210254,6.85803394202,a0003 4.wav
yes,8.84983152229,7.13648289532,6.81882913326,6.35846706393,6.17882750174,5.84624420764,5.43297889811,5.92833133511,5.99703992284,6.66756207153,7.53791603535,8.51400219255,8.56514296092,a0003 5.wav
yes,9.87939117706,8.78498509411,8.88689384178,8.35089359978,8.30808163722,8.19955678253,7.94157787796,8.48473424787,8.9845177328,9.50773507649,10.3669734074,10.8814260157,11.156736648,a0003 6.wav
yes,10.984571858,10.6002680296,10.8191415184,10.4616384819,10.523010057,10.5283199934,10.2911401318,10.9260719786,11.849340357,12.673028744,13.3040157271,13.4416061366,13.423364198,a0003 7.wav
