speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12, filename
yes,5.18345712189,5.11937044287,5.74880530424,5.99705532486,4.40585455523,3.75547585229,3.90576073249,4.06575902451,4.63113307652,5.35966644672,5.57141802532,5.37152631063,5.58516578637,stem1-0-stem1.wav
yes,7.5127349687,7.64643218929,8.37893963384,8.76625692241,7.16723900396,6.32363484957,6.55732623284,6.84007724493,7.55947138209,8.08603473689,8.19481208875,8.23765542885,8.48392672652,stem1-1-stem1.wav
yes,7.96485956634,7.93568670866,8.8898399172,9.50236546936,8.00774158804,7.66802099037,8.02531025952,8.14003828058,8.63718969788,8.96094465346,9.08575684361,9.31285491802,9.50355996556,stem1-10-stem1.wav
yes,7.81816352849,7.86427071629,8.27084242193,8.55514101548,7.2230579237,6.6109296766,7.0714425757,7.41830525556,7.80500200129,8.29809912931,8.46965580883,8.54170838047,8.93459700877,stem1-100-stem1.wav
yes,7.86782133863,8.03274229193,8.28379683279,8.39685341941,6.94930910133,6.36545963228,6.93816448989,7.1762330639,7.4580665011,8.21150656255,8.48170780139,8.48443303602,8.58058360139,stem1-101-stem1.wav
yes,7.96696866733,7.81113359706,8.01903832694,8.50205833287,7.4037051759,6.8174766053,7.4229383334,7.61376378666,7.75050680637,8.06093071675,8.25612800284,8.31808797504,8.54578721339,stem1-102-stem1.wav
yes,7.91453681167,7.94004518701,8.33127122626,8.80497661698,7.26157150604,6.53744542093,7.04280347175,7.35307564095,7.80897120291,8.44258029622,8.72574481641,8.59454748939,8.64453392975,stem1-103-stem1.wav
yes,7.95888078194,7.92730979357,8.44776391373,8.70883709029,7.43586953147,6.91350194648,7.48953655466,7.66956937302,7.88372816423,8.15969203146,8.4307988703,8.55708912118,8.66018927606,stem1-104-stem1.wav
yes,7.62207314525,7.85572682166,8.10236282064,8.47674871131,6.9009992745,6.27797877649,7.04329927343,7.33495747735,7.37947686344,7.80807433752,8.10420834131,8.23040268414,8.24927111384,stem1-105-stem1.wav
yes,7.83997251989,7.93523467462,8.20016130348,8.33756590369,6.83771175224,6.30865871527,6.76633690014,7.03390267963,7.31206140078,7.92069696888,8.26017869143,8.3112305355,8.30685962234,stem1-106-stem1.wav
yes,7.70042125913,7.84019622861,8.22368041127,8.81397327927,7.24696320735,6.55209088763,7.27599749601,7.68353381202,8.03558535442,8.4941209013,8.64833896247,8.5147526639,8.57186902464,stem1-107-stem1.wav
yes,7.62698191367,7.96132474677,7.94930738002,8.2602726123,6.7944029953,6.11139662364,6.80491274672,7.35472596613,7.46799259773,7.7359109612,8.11311166005,8.18064033264,8.28491896048,stem1-108-stem1.wav
yes,7.98511916623,8.02418635872,8.58419131951,8.77082045227,7.20211622157,6.44080875645,6.82765158663,7.15732742202,7.81133061774,8.6286091957,8.85594377517,8.70228396239,8.68100938113,stem1-109-stem1.wav
yes,7.56179854654,7.45348710005,8.15183700622,8.07937750526,6.67439853555,6.64440176489,7.00761658962,7.27026233677,7.70020272069,8.45694378695,8.85903119163,8.87376584366,8.90397939389,stem1-11-stem1.wav
