speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12, filename
yes,3.94253099768,3.63438960362,3.85294288269,3.9207165162,4.36602916884,4.6331545162,4.37991247056,4.38935917081,4.50889508688,4.52850141626,4.65076578801,4.81439083915,4.79797674574,addNoiseLater_hallway_0_ch04.wav
yes,4.15350774823,3.42688550111,4.02473960378,4.05779790171,4.29159028216,4.48752309458,4.36655455402,4.50599618633,4.5701434576,4.62686599768,4.77028778168,5.12701802335,5.14747768174,addNoiseLater_hallway_0_ch08.wav
yes,4.7988946771,3.85878456909,4.2068751314,4.0845768426,4.29058294809,4.61523992975,4.590445219,4.6520680097,4.65078473929,4.6944879703,4.94008645178,5.05051920229,5.10972394171,addNoiseLater_hallway_0_ch09.wav
yes,4.09956680927,3.21979623999,3.47445447285,3.38204852512,3.69556022744,3.99225746365,3.90322484704,3.91748150729,3.83433690757,4.07760925167,4.44153109883,4.84493762431,4.8009637408,addNoiseLater_hallway_0_ch10.wav
yes,7.25682405757,6.36677197195,6.67499572778,6.62590186391,6.8871937352,6.94166399423,6.80894466745,7.06152581496,6.98095179214,6.84625583242,6.8347984921,7.03447609019,6.61817592412,addNoiseLater_hallway_0_ch11.wav
yes,5.79859386858,4.89426882223,4.93048584884,4.83754031881,5.08624775313,5.21279866374,5.06980129369,5.2263955229,5.01197561978,5.00477176961,5.12055189483,5.38829894222,5.31311839039,addNoiseLater_hallway_0_ch14.wav
yes,5.12151824218,4.51130007228,4.77200619317,4.58050975946,4.91198131681,5.02416581277,4.94777393853,5.06059436624,4.80176848647,4.77377551179,4.82002343982,5.06466251313,5.10456816301,addNoiseLater_hallway_0_ch16.wav
yes,4.96954070748,4.27688475865,4.87321746371,4.70152063684,4.71204673924,4.69118017066,4.48022003512,4.72180323785,4.80599759118,4.80540729374,4.9258444054,4.96889243043,4.67447188056,addNoiseLater_hallway_10_ch01.wav
yes,5.90447375327,5.00974463351,5.43636941568,5.62860396046,5.89234522731,6.15868750769,6.1793533467,6.25151867096,6.29354316948,6.52610855306,6.69527204682,6.7398201465,6.28855942171,addNoiseLater_hallway_10_ch03.wav
yes,8.22316921416,6.61773990026,5.84723768484,5.64425465875,5.5351050726,5.54490832898,5.20829385923,5.10547464802,4.98449218165,4.97841417498,5.01385362371,5.07246134243,4.99174343354,addNoiseLater_hallway_10_ch04.wav
yes,5.91795232252,5.06956759889,5.41187182068,5.30006738115,5.60460305709,5.76879101506,5.61092415426,5.7183387968,5.66538785015,5.5825160995,5.59715599567,5.89387996722,5.8278476843,addNoiseLater_hallway_10_ch08.wav
yes,3.94998843391,3.03688719657,3.4634700052,3.61386729722,3.69623235777,3.81544278579,3.80131509702,3.90534113465,3.8759904752,4.19486103553,4.48065536208,4.75347861269,4.76777671439,addNoiseLater_hallway_10_ch10.wav
yes,6.44773789923,5.00917573144,4.97463352548,4.86775053695,5.02474054207,5.24348661839,5.14625593421,5.37047884923,5.42691860244,5.54596033191,5.68268829862,5.93105825738,5.96319246923,addNoiseLater_hallway_10_ch11.wav
