@relation mfcc_NL-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {1,0}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
1,3.942531,3.63439,3.852943,3.920717,4.366029,4.633155,4.379912,4.389359,4.508895,4.528501,4.650766,4.814391,4.797977
1,4.153508,3.426886,4.02474,4.057798,4.29159,4.487523,4.366555,4.505996,4.570143,4.626866,4.770288,5.127018,5.147478
1,4.798895,3.858785,4.206875,4.084577,4.290583,4.61524,4.590445,4.652068,4.650785,4.694488,4.940086,5.050519,5.109724
1,4.099567,3.219796,3.474454,3.382049,3.69556,3.992257,3.903225,3.917482,3.834337,4.077609,4.441531,4.844938,4.800964
1,7.256824,6.366772,6.674996,6.625902,6.887194,6.941664,6.808945,7.061526,6.980952,6.846256,6.834798,7.034476,6.618176
1,5.798594,4.894269,4.930486,4.83754,5.086248,5.212799,5.069801,5.226396,5.011976,5.004772,5.120552,5.388299,5.313118
1,5.121518,4.5113,4.772006,4.58051,4.911981,5.024166,4.947774,5.060594,4.801768,4.773776,4.820023,5.064663,5.104568
1,4.969541,4.276885,4.873217,4.701521,4.712047,4.69118,4.48022,4.721803,4.805998,4.805407,4.925844,4.968892,4.674472
1,5.904474,5.009745,5.436369,5.628604,5.892345,6.158688,6.179353,6.251519,6.293543,6.526109,6.695272,6.73982,6.288559
1,8.223169,6.61774,5.847238,5.644255,5.535105,5.544908,5.208294,5.105475,4.984492,4.978414,5.013854,5.072461,4.991743
1,5.917952,5.069568,5.411872,5.300067,5.604603,5.768791,5.610924,5.718339,5.665388,5.582516,5.597156,5.89388,5.827848
1,3.949988,3.036887,3.46347,3.613867,3.696232,3.815443,3.801315,3.905341,3.87599,4.194861,4.480655,4.753479,4.767777
1,6.447738,5.009176,4.974634,4.867751,5.024741,5.243487,5.146256,5.370479,5.426919,5.54596,5.682688,5.931058,5.963192
1,4.429113,3.427449,3.654896,3.598166,3.793306,4.044087,3.889686,4.063644,4.036492,4.167527,4.461481,4.718142,4.704508
1,4.297864,3.246364,3.402743,3.398038,3.654076,3.779976,3.634346,3.879884,3.923562,4.065583,4.400881,4.915968,4.749813
1,5.389684,4.210667,4.152776,4.084765,4.200693,4.534879,4.342009,4.192746,4.335761,4.453675,4.624316,4.624067,4.737948
1,6.459626,5.625018,5.967969,5.915828,6.072781,6.299652,6.302989,6.407385,6.625181,6.917311,7.176883,7.183609,6.729519
1,8.328392,7.189237,7.116427,6.677457,6.527161,6.5598,6.313986,6.18525,6.055612,6.087751,6.106363,6.062202,6.033452
1,6.278628,5.501462,5.837703,5.666114,5.935333,6.076229,6.002925,6.179769,6.390788,6.495635,6.622978,6.706953,6.671148
1,6.775518,5.72188,5.854572,5.688017,5.805914,5.923131,5.711791,6.030472,6.141237,6.27567,6.381896,6.486413,6.105787
1,5.827053,4.957911,4.892289,4.864849,5.05212,5.516379,5.321722,5.377742,5.52757,5.671749,5.830086,5.805831,5.752892
1,4.914985,4.007838,4.509629,4.649459,4.789702,4.894909,4.850154,5.23171,5.195345,5.318024,5.593847,5.844969,5.814975
1,6.980782,5.941411,5.982548,5.910696,6.127256,6.254762,6.071716,6.312217,6.243803,6.211072,6.368041,6.478733,6.16469
1,5.763596,4.599319,4.655433,4.644662,4.865696,5.319001,5.137993,5.209597,5.235872,5.400356,5.563215,5.49957,5.556166
1,5.951084,5.425587,5.754885,6.087285,6.577859,6.772326,6.824356,6.968454,6.786711,6.757918,6.911863,7.082923,6.740373
1,8.438985,7.218862,6.684145,6.601336,6.693732,6.863441,6.528865,6.45906,6.186791,6.096518,6.107215,6.098826,6.046718
1,8.724256,6.620491,7.107308,6.818078,6.755089,6.883869,6.551761,6.456256,6.270487,6.264744,6.213697,6.219306,6.177987
1,4.26867,3.658192,4.397897,4.438147,4.509057,4.702414,4.608455,4.836637,4.967415,5.267011,5.351452,5.770071,5.686802
1,4.687019,4.003514,4.351426,4.252004,4.44996,4.723649,4.536795,4.655802,4.635583,4.881003,5.043442,5.205995,5.349045
1,4.218685,3.463802,3.831296,3.790479,4.021877,4.23687,4.172434,4.291193,4.3384,4.65873,4.995528,5.323548,5.115783
1,8.278869,7.292339,6.933082,6.451244,6.625928,6.66301,6.376489,6.330455,6.244239,6.210034,6.150222,6.187832,6.032154
1,6.194884,4.939636,5.088107,5.030468,5.332327,5.559746,5.395693,5.634182,5.775255,5.949575,5.993048,6.193731,6.14377
1,4.447675,3.572918,3.984255,3.917777,4.238074,4.454667,4.302193,4.494241,4.535877,4.753577,4.993898,5.375864,5.202522
1,5.895336,5.289365,5.752522,5.960172,6.232008,6.324126,6.341973,6.59552,6.742868,7.025673,7.096241,7.113014,6.779137
1,4.320971,3.575757,4.044906,3.975394,4.355539,4.51749,4.39428,4.563563,4.593611,4.914165,5.239046,5.616963,5.407284
1,6.755837,5.18404,5.188607,5.175128,5.502484,5.44715,5.31015,5.646937,5.755798,6.03398,6.122331,6.12363,5.839932
1,8.609194,7.132145,6.568105,6.506183,6.383543,6.501599,6.193729,6.037442,5.859666,5.831959,5.81658,5.731705,5.662389
1,4.945343,4.155597,4.442314,4.162744,4.537947,4.718509,4.510871,4.420311,4.459237,4.63161,4.937894,5.264577,4.98209
1,6.292637,4.948042,5.000205,4.809219,4.98287,5.06216,4.86422,4.843613,4.797629,4.828238,4.976992,5.166097,5.072618
1,6.471875,5.497726,5.549608,5.368086,5.601208,5.78129,5.477133,5.596447,5.532039,5.572308,5.646995,5.813352,5.38998
1,6.780826,5.136758,5.068059,4.929079,5.293575,5.299691,5.098683,5.172635,5.235544,5.468045,5.648404,5.757909,5.320269
1,6.824484,5.692131,5.857987,5.695329,5.737075,5.930187,5.739965,5.822901,5.829067,5.974242,6.162963,6.173914,6.18671
1,4.622908,3.879494,4.007683,3.961905,4.260129,4.482458,4.318506,4.394099,4.400292,4.495024,4.741623,5.074455,4.90781
1,6.739231,5.657482,5.9055,5.882869,6.152627,6.325277,6.170613,6.385949,6.436474,6.378838,6.523055,6.568929,6.500794
1,4.705245,3.873731,4.231261,4.141964,4.475483,4.677526,4.526012,4.656851,4.72665,4.948976,5.366266,5.741303,5.461405
1,5.251594,4.615582,5.292378,5.308526,5.524403,5.852736,5.818623,5.912646,6.120575,6.29495,6.321324,6.365554,5.784652
1,6.220155,4.916413,5.31077,5.166369,5.222019,5.508949,5.306849,5.485106,5.624527,5.859448,6.058368,6.284023,6.237215
1,5.833441,4.475414,4.540933,4.412825,4.53736,4.704943,4.433576,4.527907,4.616333,4.765517,4.95295,5.218695,5.128374
1,5.557334,5.255191,5.631554,5.893315,6.239179,6.250057,5.910138,5.915107,5.92466,6.224122,6.38381,6.690171,6.534386
1,6.974788,5.497517,5.517726,5.552572,5.799347,5.75685,5.524104,5.801172,6.11817,6.326445,6.567632,6.754961,6.284194
1,6.389261,4.736145,5.208414,4.719924,4.980417,5.040722,4.957727,5.474635,5.663024,5.73447,5.489224,5.549259,5.119325
1,6.039701,4.686376,5.030316,4.895399,4.9764,5.261877,5.177133,5.353063,5.555434,5.723935,5.907789,6.083281,6.094773
1,5.873423,4.654233,4.680911,4.542571,4.747523,4.965903,4.820557,4.922335,5.138333,5.221795,5.252456,5.352385,5.252161
1,6.997606,5.674799,5.646023,5.705688,6.11621,6.184382,6.009409,6.371609,6.771619,6.872248,6.949233,6.918027,6.523824
1,5.597994,4.861385,5.33684,5.502266,6.096362,6.349256,6.308791,6.435362,6.527495,6.715413,6.798644,6.790695,6.366685
1,6.423585,5.004998,5.313353,4.892415,5.138557,5.263735,5.277793,5.755116,5.96772,6.076828,5.793217,5.791417,5.308918
1,6.013171,5.507267,5.802043,5.831831,6.195832,6.455999,6.423576,6.689961,7.235863,7.518984,7.446601,7.314398,6.733211
1,6.852612,5.593633,6.047889,6.010641,6.525043,6.907049,7.443417,7.343688,7.705337,7.744933,7.487321,7.114833,6.891973
1,4.973722,4.360885,5.212466,5.473713,5.64366,6.005394,6.134245,6.274021,6.251853,6.246598,6.177278,6.156205,5.667912
1,6.001456,4.804105,5.141327,5.006866,5.146313,5.456739,5.460452,5.781361,5.953247,6.05169,6.063456,6.197891,6.256482
1,4.588753,3.801914,4.186096,4.113763,4.426398,4.769734,4.644553,4.751055,4.905731,5.110952,5.383087,5.636892,5.457415
1,5.374155,4.846955,5.259934,5.359068,5.729698,5.858051,5.648321,5.555026,5.435568,5.622498,5.809066,6.033608,5.796065
1,5.287447,4.479327,5.108428,5.195559,5.604984,5.797073,5.623286,5.674317,5.75011,5.931222,6.090829,6.104463,5.888302
1,6.78317,5.757089,6.257123,6.155764,6.604836,6.862059,7.00888,7.089656,7.428066,7.280233,7.161493,6.904195,6.758994
1,4.812297,4.51169,5.176131,5.101303,5.002755,4.913337,4.651508,4.789715,5.000572,5.315975,5.540358,5.979998,5.596741
1,5.890738,4.593273,4.861139,4.602562,4.561461,4.689659,4.521815,4.648965,5.036355,5.285668,5.532221,5.818931,5.762139
1,5.782377,4.491572,4.689361,4.493655,4.573402,4.624668,4.31399,4.317329,4.451445,4.540406,4.668093,4.979942,4.892875
1,6.833194,5.352393,5.234382,5.123955,5.428725,5.450113,5.054004,5.287509,5.642785,6.012915,6.156714,6.201063,5.763198
1,6.136394,5.602048,6.029823,5.928026,5.968931,6.157831,5.969159,6.071475,6.651475,6.953266,6.9712,7.000297,6.445488
1,4.871127,4.208487,4.551403,4.624676,5.150052,5.377889,5.074334,4.95254,4.804965,5.209876,5.390618,5.550328,5.331378
1,4.635041,4.295007,5.090016,5.199643,5.270746,5.217998,4.784799,4.761921,4.612326,4.910756,5.263555,5.480992,5.233417
